index,UID,l2,l2_desc,l1_UID
PR-01,JnGUEbM,Trust,Always consider and act in accordance with what is necessary to gain the trust of society.,JnGV10M
PR-02,JnGUEbQ,Compassion,"Treat others with dignity, courtesy, appropriate understanding and consideration.",JnGV10M
PR-03,JnGUEbg,Culture,Acquire an education appropriate to a physician.,JnGV10M
PR-04,JnGUEbk,Medical Ethics,Learn the importance of ethics in medicine.,JnGV10M
GE-01,JnGUR4c,Holistic Perspectives and Approaches,"Understand the problems faced by patients from a psychological and social perspective as well as from a cross-organ perspective, be involved in medical care responsibly with an attitude that is not limited to one's area of expertise, and be involved in clinical practice based on the best decision-making and behavioral science.",JnGV10U
GE-02,JnGUR4k,Regional Perspectives and Approaches,"Understand the current status and issues of medical care, nursing care, health care, and welfare according to local conditions, and acquire the ability to contribute to the practice of primary care as the basis of medical care and to the improvement of the quality of the health care system.",JnGV10U
GE-03,JnGUR4s,Life Perspectives and Approaches,"To be able to engage in psycho-social and medical problems that may occur to patients, families, and consumers over time, based on the processes of growth, development, aging, and death of patients and consumers.",JnGV10U
GE-04,JnGUR4w,Social Perspectives and Approaches,"Understand health perspectives, people's words and actions, and relationships generated in cultural and social contexts, and be able to apply them to clinical practice from the perspective of cultural anthropology and sociology (mainly medical anthropology and medical sociology).",JnGV10U
LL-01,JnGUHWw,Lifelong Learning,Form the values of lifelong learning.,JnGV10Y
LL-02,JnGUHW0,Health Care Provider Education,Contribute to the education of not only physicians and medical students but also medical professionals including colleagues and junior colleagues.,JnGV10Y
RE-01,JnGT6dY,Research Mind,Discover the joy of satisfying intellectual curiosity and the importance of originality.,JnGV10g
RE-02,JnGT6dc,Known Knowledge,Learn about the great achievements of our predecessors and foster new ideas.,JnGV10g
RE-03,JnGT6dk,Conducting Research,"Experience and understand research methods in the natural sciences, humanities and social sciences.",JnGV10g
RE-04,JnGT6do,Disseminating Research,Explain and discuss the significance and contents of research with others.,JnGV10g
RE-05,JnGT6dw,Research Ethics,"To comply with laws and regulations, respect human rights, and behave properly as a medical student.",JnGV10g
PS-01,JnGT9qY,Basic Medicine,"Understand the phenomena of life, from the molecular to the individual level, from the cell to the individual, the composition and function of the individual, and the reactions of the individual, and understand the etiology and pathophysiology of diseases due to their disruption.",JnGV10k
