index,UID,l3,l2_UID
PR-01-01,JnIA6vg,Integrity,JnGUEbM
PR-01-02,JnIA6vk,reflection,JnGUEbM
PR-02-01,JnIA6vs,Compassion,JnGUEbQ
PR-02-02,JnIA6vw,Understanding of Others and Self,JnGUEbQ
PR-02-03,JnIA6v4,Dignity and Courtesy,JnGUEbQ
PR-03-01,JnIA6wE,Cultivation,JnGUEbg
PR-04-01,JnIA6wI,Medical Ethics,JnGUEbk
GE-01-01,JnICKV8,Cross-Organ Medical Care,JnGUR4c
GE-01-02,JnICKWA,"Comprehensive Perspectives on Biological, Psychological, and Social Issues",JnGUR4c
GE-01-03,JnICKWI,Patient-centered medicine,JnGUR4c
GE-01-04,JnICKWM,Evidence-Based Medicine (EBM),JnGUR4c
GE-01-05,JnICKWU,Behavioral Science,JnGUR4c
GE-01-06,JnICKWY,Palliative Care,JnGUR4c
GE-02-01,JnICKWg,Basic Concepts in Primary Care,JnGUR4k
GE-02-02,JnICKWk,Primary Care in the Community,JnGUR4k
GE-02-03,JnICKWo,Primary care according to medical resources,JnGUR4k
GE-02-04,JnICKWs,Primary care at home,JnGUR4k
GE-03-01,JnICKW0,Life Processes,JnGUR4s
GE-03-02,JnICKW4,Childhood in general,JnGUR4s
GE-03-03,JnICKXA,"Fetal, neonatal, and infancy",JnGUR4s
GE-03-04,JnICKXE,"School age, puberty, adolescence, young adulthood",JnGUR4s
GE-03-05,JnICKXM,Old age,JnGUR4s
GE-03-06,JnICKXQ,End of life,JnGUR4s
GE-04-01,JnICKXY,"Health in Medical, Cultural and Social Contexts",JnGUR4w
GE-04-02,JnICKXc,Social Sciences,JnGUR4w
LL-01-01,JnIBYXQ,Practice of Lifelong Learning,JnGUHWw
LL-01-02,JnIBYXY,Career Development,JnGUHWw
LL-02-01,JnIBYXM,Practice of Medical Educator Education,JnGUHW0
RE-01-01,JnIAX18,Active Posture,JnGT6dY
RE-01-02,JnIAX2I,spirit of inquiry,JnGT6dY
RE-02-01,JnIAX2M,Medicine & Healthcare,JnGT6dc
RE-02-02,JnIAX2U,reading and understanding of papers,JnGT6dc
RE-03-01,JnIAX2Y,questions,JnGT6dk
RE-03-02,JnIAX2g,Research Plan,JnGT6dk
RE-03-03,JnIAX2o,Research Methods,JnGT6dk
RE-03-04,JnIAX2s,Research Results,JnGT6dk
RE-04-01,JnIAX20,Research Publications,JnGT6do
RE-05-01,JnIAX24,Appropriate Research Conduct,JnGT6dw
RE-05-02,JnIAX3A,Protection of subjects,JnGT6dw
PS-01-01,JnIAssw,Science of Life Phenomena,JnGT9qY
PS-01-02,JnIAss4,Composition and Function of an Individual,JnGT9qY
PS-01-03,JnIAss8,Individual Reactions,JnGT9qY
PS-01-04,JnIAstE,Etiology and Pathogenesis,JnGT9qY
PS-02-01,JnIAstI,General Introduction,JnGT9qc
PS-02-02,JnIAstQ,"Blood, hematopoietic and lymphatic systems",JnGT9qc
PS-02-03,JnIAstY,Nervous system,JnGT9qc
PS-02-04,JnIAstc,Dermal system,JnGT9qc
PS-02-05,JnIAstk,Motor (musculoskeletal) system,JnGT9qc
PS-02-06,JnIAsto,Cardiovascular system,JnGT9qc
PS-02-07,JnIAstw,Respiratory System,JnGT9qc
PS-02-08,JnIAst0,Digestive system,JnGT9qc
PS-02-09,JnIAst8,Renal and Urinary System (including fluid and electrolyte balance),JnGT9qc
PS-02-10,JnIAsuA,,JnGT9qc
PS-02-11,JnIAsuI,Pregnancy and delivery,JnGT9qc
PS-02-12,JnIAsuM,Children,JnGT9qc
PS-02-13,JnIAsuU,Breast,JnGT9qc
PS-02-14,JnIAsuc,"Endocrine, Nutritional and Metabolic Systems",JnGT9qc
PS-02-15,JnIAsug,Eye and vision system,JnGT9qc
PS-02-16,JnIAsuo,"Otorhinolaryngology, Throat, and Oral cavity",JnGT9qc
PS-02-17,JnIAsus,Mental system,JnGT9qc
PS-03-01,JnIAsu0,Genetic Medicine and Genome Medicine,JnGT9qk
PS-03-02,JnIAsu4,Immunology and Allergy,JnGT9qk
PS-03-03,JnIAsvA,Infectious Diseases,JnGT9qk
