Organ,Classification,Item,index,UID
"Blood, Hematopoietic and Lymphatic System",Structure and Function,Structure of bone marrow,TBL-02-01-001,JlAKpVg
"Blood, Hematopoietic and Lymphatic System",Structure and Function,Process of differentiation and maturation of hematopoietic stem cells into individual blood cells,TBL-02-01-002,JlAKpVk
"Blood, Hematopoietic and Lymphatic System",Structure and Function,"Major hematopoietic factors (erythropoietin, granulocyte colony-stimulating factor (G-CSF), thrombopoietin)",TBL-02-01-003,JlAKpVo
"Blood, Hematopoietic and Lymphatic System",Structure and Function,"Structure and function of spleen, thymus, lymph nodes, tonsils and Peyer's patches",TBL-02-01-004,JlAKpVs
"Blood, Hematopoietic and Lymphatic System",Structure and Function,Types and functions of plasma proteins,TBL-02-01-005,JlAKpVw
"Blood, Hematopoietic and Lymphatic System",Structure and Function,Structure and function of red blood cells and hemoglobin,TBL-02-01-006,JlAKpV0
"Blood, Hematopoietic and Lymphatic System",Structure and Function,Types and functions of white blood cells,TBL-02-01-007,JlAKpV4
"Blood, Hematopoietic and Lymphatic System",Structure and Function,"Platelet function and mechanisms of hemostasis, coagulation and fibrinolysis",TBL-02-01-008,JlAKpV8
"Blood, Hematopoietic and Lymphatic System",Symptoms,Fever,TBL-02-01-009,JlAKpWA
"Blood, Hematopoietic and Lymphatic System",Symptoms,General malaise,TBL-02-01-010,JlAKpWE
"Blood, Hematopoietic and Lymphatic System",Symptoms,jaundice,TBL-02-01-011,JlAKpWI
"Blood, Hematopoietic and Lymphatic System",Symptoms,Lymphadenopathy,TBL-02-01-012,JlAKpWM
"Blood, Hematopoietic and Lymphatic System",Symptoms,anemia,TBL-02-01-013,JlAKpWQ
"Blood, Hematopoietic and Lymphatic System",Symptoms,Bleeding tendency,TBL-02-01-014,JlAKpWU
"Blood, Hematopoietic and Lymphatic System",Symptoms,tendency to thrombosis,TBL-02-01-015,JlAKpWY
"Blood, Hematopoietic and Lymphatic System",Testing Methods,Peripheral blood smear,TBL-02-01-016,JlAKpWg
"Blood, Hematopoietic and Lymphatic System",Methods,"Coagulation, fibrinolysis, and platelet function tests",TBL-02-01-017,JlAKpWk
"Blood, Hematopoietic and Lymphatic System",Methods,"Bone marrow examination (bone marrow puncture, bone marrow biopsy)",TBL-02-01-018,JlAKpWo
"Blood, Hematopoietic and Lymphatic System",Methods,Transfusion-related tests,TBL-02-01-019,JlAKpWs
"Blood, Hematopoietic and Lymphatic System",Methods,"Protein fractionation, immunoelectrophoresis",TBL-02-01-020,JlAKpWw
"Blood, Hematopoietic and Lymphatic System",Methods,Genetic and chromosome testing,TBL-02-01-021,JlAKpW0
"Blood, Hematopoietic and Lymphatic System",Specific Therapy,Blood transfusion,TBL-02-01-022,JlAKpW4
"Blood, Hematopoietic and Lymphatic System",Specific Therapy,Hematopoietic stem cell transplantation,TBL-02-01-023,JlAKpW8
