Organ,Classification,Item,index,UID
"Endocrine, Nutritional and Metabolic Systems",Structure and Function,"Structural classification of hormones, their mechanisms of action and regulatory function of secretion",TBL-02-13-001,JlAKpr8
"Endocrine, Nutritional and Metabolic Systems",Structure and Function,"Names, actions and interrelationships of hypothalamic and pituitary hormones",TBL-02-13-002,JlAKpsA
"Endocrine, Nutritional and Metabolic Systems",Structure and Function,"Hormones secreted by the thyroid gland and parathyroid glands (epithelial bodies), their mechanisms of action and regulation of secretion",TBL-02-13-003,JlAKpsE
"Endocrine, Nutritional and Metabolic Systems",Structure and Function,Structure of adrenal gland and action and secretory regulation mechanism of secreted hormones,TBL-02-13-004,JlAKpsI
"Endocrine, Nutritional and Metabolic Systems",Structure and Function,Action of hormones secreted from pancreatic islets,TBL-02-13-005,JlAKpsM
"Endocrine, Nutritional and Metabolic Systems",Structure and Function,Synthesis and metabolic pathways and actions of male and female hormones,TBL-02-13-006,JlAKpsQ
"Endocrine, Nutritional and Metabolic Systems",Structure and Function,"Digestion and absorption of the three major nutrients, vitamins, and trace elements and bioavailability efficiency of nutrients",TBL-02-13-007,JlAKpsU
"Endocrine, Nutritional and Metabolic Systems",Structure and Function,"Metabolic pathways and interactions of carbohydrates, proteins, and lipids",TBL-02-13-008,JlAKpsY
"Endocrine, Nutritional and Metabolic Systems",Structure and Function,Factors affecting blood hormone levels and diurnal variation of hormones,TBL-02-13-009,JlAKpsc
"Endocrine, Nutritional and Metabolic Systems",Symptoms,Weight loss,TBL-02-13-010,JlAKpsg
"Endocrine, Nutritional and Metabolic Systems",Symptoms,Weight gain,TBL-02-13-011,JlAKpsk
"Endocrine, Nutritional and Metabolic Systems",Symptoms,Menstrual abnormalities,TBL-02-13-012,JlAKpso
"Endocrine, Nutritional and Metabolic Systems",Symptoms,Short stature,TBL-02-13-013,JlAKpss
"Endocrine, Nutritional and Metabolic Systems",Symptoms,Goiter,TBL-02-13-014,JlAKpsw
"Endocrine, Nutritional and Metabolic Systems",Symptoms,Symptoms of excess or deficiency of hormones,TBL-02-13-015,JlAKps0
"Endocrine, Nutritional and Metabolic Systems",Symptoms,Physical symptoms of excessive or deficient energy intake,TBL-02-13-016,JlAKps4
"Endocrine, Nutritional and Metabolic Systems",Testing Methods,Blood and urine hormone measurements,TBL-02-13-017,JlAKps8
"Endocrine, Nutritional and Metabolic Systems",Methods of Examination,Endocrine function tests and stress tests,TBL-02-13-018,JlAKptA
