Organ,Classification,Item,index,UID
Ocular and Visual System,Structure and Function,Structure of the eye and adnexa,TBL-02-14-001,JlAKptw
Ocular and Visual System,Structure and Function,Mechanism of visual information reception and conduction pathways,TBL-02-14-002,JlAKpt0
Ocular and Visual System,Structure and Function,Mechanism of eye movement,TBL-02-14-003,JlAKpt4
Ocular and Visual System,Structure and Function,"Functions of the contralateral light reflex, convergence reflex, and corneal reflex",TBL-02-14-004,JlAKpt8
Ocular and Visual System,Symptoms,Dizziness,TBL-02-14-005,JlAKpuA
Ocular and Visual System,Symptoms,Headache,TBL-02-14-006,JlAKpuE
Ocular and Visual System,Symptoms,Nausea and vomiting,TBL-02-14-007,JlAKpuI
Ocular and Visual System,Symptoms,Visual impairment,TBL-02-14-008,JlAKpuM
Ocular and Visual System,Symptoms,Visual field abnormality,TBL-02-14-009,JlAKpuQ
Ocular and Visual System,Symptoms,Eye movement disorder,TBL-02-14-010,JlAKpuU
Ocular and Visual System,Symptoms,Eye fat/eye redness,TBL-02-14-011,JlAKpuY
Ocular and Visual System,Symptoms,mosquitosis,TBL-02-14-012,JlAKpuc
Ocular and Visual System,Symptoms,Eye pain,TBL-02-14-013,JlAKpug
Ocular and Visual System,Testing Methods,Visual acuity test,TBL-02-14-014,JlAKpuk
Ocular and Visual System,Methods,Visual field test,TBL-02-14-015,JlAKpuo
Ocular and Visual System,Methods,Slit-lamp microscopy,TBL-02-14-016,JlAKpus
Ocular and Visual System,Methods,Intraocular pressure test,TBL-02-14-017,JlAKpuw
Ocular and Visual System,Examination Methods,Fundus examination,TBL-02-14-018,JlAKpu0
Ocular and Visual System,Specific Therapy,Laser Therapy,TBL-02-14-019,JlAKpu4
