Organ,Classification,Item,index,UID
Respiratory System,Structure and Function,"Structure of the airways, pulmonary lobes and areas and the pulmonary hilum",TBL-02-06-001,JlAKphE
Respiratory System,Structure and Function,Difference between pulmonary and systemic circulation,TBL-02-06-002,JlAKphI
Respiratory System,Structure and Function,Structure of mediastinum and pleural cavity,TBL-02-06-003,JlAKphM
Respiratory System,Structure and Function,Respiratory muscles and mechanisms of respiratory movement,TBL-02-06-004,JlAKphQ
Respiratory System,Structure and Function,"Lung air volume fractionation, ventilation, and dead space (ventilatory mechanics (intrathoracic pressure, lung compliance, resistance, closing volume (closing volume))",TBL-02-06-005,JlAKphU
Respiratory System,Structure and Function,Relationship between gas exchange and blood flow in the alveoli,TBL-02-06-006,JlAKphY
Respiratory System,Structure and Function,Effect of pulmonary ventilation and blood flow (ventilation to blood flow ratio) on arterial blood gases (alveolar-arterial oxygen partial pressure gradient (A-aDO2)),TBL-02-06-007,JlAKphc
Respiratory System,Structure and Function,Mechanisms of respiratory regulation via the respiratory center,TBL-02-06-008,JlAKphg
Respiratory System,Structure and Function,Mechanisms of oxygen and carbon dioxide transport by blood,TBL-02-06-009,JlAKphk
Respiratory System,Structure and Function,Airway and lung defense mechanisms (immunological and non-immunological) and metabolic functions,TBL-02-06-010,JlAKpho
Respiratory System,Symptoms,Cough and sputum,TBL-02-06-011,JlAKph0
Respiratory System,Symptoms,Blood sputum/hematoptysis,TBL-02-06-012,JlAKph4
Respiratory System,Symptoms,Dyspnea,TBL-02-06-013,JlAKphw
Respiratory System,Symptoms,Chest pain,TBL-02-06-014,JlAKphs
Respiratory System,Symptoms,Chest tightness,TBL-02-06-015,JlAKpiA
Respiratory System,Symptoms,Abnormal respiratory rate/rhythm,TBL-02-06-016,JlAKpiE
Respiratory System,Symptoms,Wheezing,TBL-02-06-017,JlAKph8
Respiratory System,Symptoms,Pleural effusion,TBL-02-06-018,JlAKpiI
Respiratory System,Testing Methods,"Sputum examination (sputum cytology, sputum culture)",TBL-02-06-019,JlAKpiM
Respiratory System,Methods,"Pleural fluid test, pleural biopsy",TBL-02-06-020,JlAKpiQ
Respiratory System,Methods,"Respiratory function tests (spirometry, pulmonary diffusion capacity, flow-volume curve), arterial blood gas analysis, polysomnography, peak flowmetry",TBL-02-06-021,JlAKpiU
Respiratory System,Methods,"Imaging tests (radiography, CT, MRI), nuclear medicine tests (positron emission tomography (PET))",TBL-02-06-022,JlAKpiY
Respiratory System,Examination Methods,Bronchoscopy,TBL-02-06-023,JlAKpic
Respiratory System,Specific Therapy,Respiratory physiotherapy and rehabilitation,TBL-02-06-024,JlAKpig
Respiratory System,Specific Therapy,Oxygen therapy,TBL-02-06-025,JlAKpik
Respiratory System,Specific Therapy,Artificial ventilation,TBL-02-06-026,JlAKpio
