Organ,Classification,Item,index,UID
Motor (musculoskeletal) system,Structure and Function,"Composition and function of bones, cartilage, joints, and ligaments",TBL-02-04-001,JlAKpb0
Motor (musculoskeletal) system,Structure and Function,Composition of the head and neck,TBL-02-04-002,JlAKpb4
Motor (musculoskeletal) system,Structure and Function,Composition and function of the spinal column,TBL-02-04-003,JlAKpb8
Motor (musculoskeletal) system,Structure and Function,"Skeleton of extremities, movement and innervation of major muscle groups",TBL-02-04-004,JlAKpcA
Motor (musculoskeletal) system,Structure and Function,Composition and sex differences of the pelvis,TBL-02-04-005,JlAKpcE
Motor (musculoskeletal) system,Structure and Function,Mechanisms of bone growth and bone formation and resorption,TBL-02-04-006,JlAKpcI
Motor (musculoskeletal) system,Structure and Function,Muscle groups involved in posture and trunk movement,TBL-02-04-007,JlAKpcM
Motor (musculoskeletal) system,Structure and Function,Antigravity muscles,TBL-02-04-008,JlAKpcQ
Motor (musculoskeletal) system,Symptoms,Motor paralysis and muscle weakness,TBL-02-04-009,JlAKpcU
Motor (musculoskeletal) system,Symptoms,Gait disturbance,TBL-02-04-010,JlAKpcg
Motor (musculoskeletal) system,Symptoms,sensory disturbance,TBL-02-04-011,JlAKpck
Motor (musculoskeletal) system,Symptoms,Lumbar back pain,TBL-02-04-012,JlAKpcc
Motor (musculoskeletal) system,Symptoms,Arthralgia and joint swelling,TBL-02-04-013,JlAKpcY
Motor (musculoskeletal) system,Symptoms,Neck pain,TBL-02-04-014,Jlvnlp8
Motor (musculoskeletal) system,Testing Methods,"Manual testing for musculoskeletal conditions (range of motion testing of limbs and spine, neurological testing, etc.)",TBL-02-04-015,JlAKpco
Motor (musculoskeletal) system,Methods,"Musculoskeletal imaging (radiography, CT, MRI, ultrasound, bone mineral density)",TBL-02-04-016,JlAKpcs
Motor (musculoskeletal) system,Examination Methods,Joint fluid testing,TBL-02-04-017,JlAKpcw
Motor (musculoskeletal) system,Specific Treatment,Rehabilitation of musculoskeletal disorders,TBL-02-04-018,JlAKpc0
Motor (musculoskeletal) system,Specific Therapy,"Treatment and procedures for sprains, fractures, and dislocations",TBL-02-04-019,JlAKpc4
