Organ,Classification,Item,index,UID
Children,Symptoms,Fever,TBL-02-11-001,Jli6Jl0
Children,Symptoms,Disturbance of consciousness,TBL-02-11-002,Jli6Jl4
Children,Symptoms,Convulsions,TBL-02-11-003,Jli6Jl8
Children,Symptoms,Edema,TBL-02-11-004,Jli6JmE
Children,Symptoms,Rash,TBL-02-11-005,Jli6JmI
Children,Symptoms,Cough/phlegm,TBL-02-11-006,Jli6JmQ
Children,Symptoms,Dyspnea,TBL-02-11-007,Jli6JmY
Children,Symptoms,Dysphagia,TBL-02-11-008,Jli6Jmc
Children,Symptoms,abdominal pain,TBL-02-11-009,Jli6Jmk
Children,Symptoms,nausea/vomiting,TBL-02-11-010,Jli6Jmo
Children,Symptoms,lower blood pressure,TBL-02-11-011,Jli6Jmw
Children,Symptoms,constipation,TBL-02-11-012,Jli6Jm0
Children,Symptoms,diarrhea,TBL-02-11-013,Jli6Jm8
Children,Symptoms,jaundice,TBL-02-11-014,Jli6JnA
Children,Symptoms,Abdominal distention/mass,TBL-02-11-015,Jli6JnI
Children,Symptoms,lymphadenopathy,TBL-02-11-016,Jli6JnQ
Children,Symptoms,Abnormal urine output/urination,TBL-02-11-017,Jli6JnU
Children,Symptoms,decreased ability to feed,TBL-02-11-018,Jli6Jnc
Children,Symptoms,poor weight gain,TBL-02-11-019,Jli6Jng
Children,Symptoms,decreased activity,TBL-02-11-020,Jli6Jno
Children,Testing Methods,Newborn mass screening,TBL-02-11-021,Jli6Jns
Children,Methods,Newborn hearing screening,TBL-02-11-022,Jli6Jn0
Children,Examination Methods,Infant health screening,TBL-02-11-023,Jli6Jn8
Children,Specific Treatment,Pediatric Infusion Therapy,TBL-02-11-024,Jli6JoA
Children,Specific Therapy,Immunization,TBL-02-11-025,Jli6JoI
