Organ,Classification,Item,index,UID
Pregnancy and Delivery,Structure and Function,"Maternal anatomic and physiologic changes during pregnancy, labor, and postpartum",TBL-02-10-001,JlAKpp4
Pregnancy and Delivery,Structure and Function,Functional and morphological changes during the development of the fetus and placental system,TBL-02-10-002,JlAKpp8
Pregnancy and Delivery,Structure and Function,Normal course of pregnancy (including physical changes associated with pregnancy),TBL-02-10-003,JlAKpqA
Pregnancy and Delivery,Structure and Function,The process of normal childbirth,TBL-02-10-004,JlAKpqE
Pregnancy and Delivery,Structure and Function,The process of postpartum confinement,TBL-02-10-005,JlAKpqI
Pregnancy and Delivery,Structure and Function,"Maternal changes, mental problems and maternal and child health associated with child care",TBL-02-10-006,JlAKpqM
Pregnancy and Delivery,Symptoms,Abdominal pain,TBL-02-10-007,JlAKpqQ
Pregnancy and Delivery,Symptoms,Nausea and vomiting,TBL-02-10-008,JlAKpqU
Pregnancy and Delivery,Symptoms,Abdominal distention and mass,TBL-02-10-009,JlAKpqY
Pregnancy and Delivery,Symptoms,Menstrual abnormalities,TBL-02-10-010,JlAKpqg
Pregnancy and Delivery,Symptoms,Genital bleeding,TBL-02-10-011,JlAKpqc
Pregnancy and Delivery,Testing Methods,"Pregnancy tests (pregnancy reactions, ultrasound)",TBL-02-10-012,JlAKpqk
Pregnancy and Delivery,Methods,"Examination of pregnancy (blood test, prenatal genetic test, amniotic fluid test, secretion test, nonstress test, ultrasound, ultrasound Doppler technique, amniotic fluid volume)",TBL-02-10-013,JlAKpqo
Pregnancy and Delivery,Examination Methods,"Examination of delivery (ultrasonography, fetal heart rate labor chart)",TBL-02-10-014,JlAKpqs
Pregnancy and Delivery,Specific Treatment,Pregnancy medication precautions,TBL-02-10-015,JlAKpqw
Pregnancy and Delivery,Specific treatment,"Indications for abortion, forceps/suction delivery, cesarean section",TBL-02-10-016,JlAKpq0
