Organ,Classification,Item,index,UID
Mental system,Symptoms,Consciousness disorder,TBL-02-16-001,JlAKpy8
Mental system,Symptoms,Anxiety and depression,TBL-02-16-002,JlAKpy0
Mental system,Symptoms,Cognitive impairment,TBL-02-16-003,JlAKpy4
Mental system,Symptoms,Insomnia,TBL-02-16-004,JlAKpzA
Mental system,Symptoms,Hallucination/delusion,TBL-02-16-005,JlAKpzE
Mental system,Symptoms,Psychosis,TBL-02-16-006,JlAKpzI
Mental system,Testing Methods,Questionnaire method,TBL-02-16-007,JlAKpzM
Mental system,Methods,Brief Psychiatric Rating Scale (BPRS),TBL-02-16-008,JlAKpzU
Mental system,Methods,Hamilton Depression Rating Scale,TBL-02-16-009,JlAKpzY
Mental system,Methods,Beck Depression Self-Rating Scale,TBL-02-16-010,JlAKpzc
Mental system,Inspection Method,State-Trait Anxiety Inventory (STAI),TBL-02-16-011,JlAKpzg
Mental system,Inspection Method,Mini-Mental State Examination (MMSE),TBL-02-16-012,JlAKpzk
Mental system,Inspection Method,Revised Hasegawa Simplified Intelligence Rating Scale,TBL-02-16-013,JlAKpzo
Mental system,Inspection Method,EEG,TBL-02-16-014,JuX-PEU
Mental system,Inspection Method,"Brain imaging (CT, MRI, SPECT, etc.)",TBL-02-16-015,JuX-PEg
Mental system,Specific Therapy,Psychotherapy,TBL-02-16-016,JuX-PEk
Mental system,Specific Therapy,Psychopharmacotherapy,TBL-02-16-017,JuX-PEs
Mental system,Specific Therapy,"Law on Mental Health and Welfare of the Mentally Disabled, Medical Observation Law for the Insane, etc.",TBL-02-16-018,JlAKpz0
Mental system,Specific Therapies,Consultation and liaison psychiatry,TBL-02-16-019,JlAKpz4
