Organs,Category,Diseases,Basic,index,UID
"Blood, Hematopoietic and Lymphatic System",anemia,Iron deficiency anemia,●,TBL-01-00-001,JlvnlXM
"Blood, Hematopoietic and Lymphatic System",anemia,Hemorrhagic anemia,,TBL-01-00-002,JlvnlYA
"Blood, hematopoietic and lymphatic system",Anemia,Renal anemia,,TBL-01-00-003,JlvnlYE
"Blood, blood-forming organs, lymphatic system",Anemia,Paroxysmal nocturnal hemoglobinuria,,TBL-01-00-004,JlvnlXY
"Blood, blood-forming organs, lymphatic system",Anemia,Aplastic anemia,,TBL-01-00-005,JlvnlXg
"Blood, blood-forming organs, lymphatic system",Anemia,Myelodysplastic syndrome,,TBL-01-00-006,JlvnlXs
"Blood, blood-forming organs, lymphatic system",Anemia,Autoimmune hemolytic anemia,,TBL-01-00-007,JlvnlXw
"Blood, blood-forming organs, lymphatic system",Anemia,Vitamin B12 deficiency anemia,●,TBL-01-00-008,JlvnlYM
"Blood, blood-forming organs, lymphatic system",Anemia,Folate deficiency anemia,,TBL-01-00-009,JlvnlYQ
"Blood, blood-forming organs, lymphatic system",Bleeding tendency,Hyperplastic spleen,,TBL-01-00-010,JlvnlYw
"Blood, blood-forming organs, lymphatic system",Bleeding tendency,Immune thrombocytopenia <ITP,,TBL-01-00-011,JlvnlYs
"Blood, blood-forming organs, lymphatic system",Bleeding tendency,Hemophilia,,TBL-01-00-012,JlvnlY8
"Blood, blood-forming organs, lymphatic system",Bleeding tendency,Disseminated intravascular coagulation (DIC),●,TBL-01-00-013,JlvnlZE
"Blood, blood-forming organs, lymphatic system",bleeding tendency,Hemolytic uremic syndrome <HUS,,TBL-01-00-014,JlvnlZI
"Blood, blood-forming organs, lymphatic system",bleeding tendency,Thrombotic thrombocytopenic purpura <TTP,,TBL-01-00-015,JlvnlZQ
"Blood, blood-forming organs, lymphatic system",bleeding tendency,Vitamin K deficiency,,TBL-01-00-016,JlvnlZY
"Blood, blood-forming organs, lymphatic system",thrombotic tendency,"Protein C, protein S, and antithrombin deficiency",,TBL-01-00-017,JlvnlZk
"Blood, blood-forming organs, lymphatic system",Thrombotic tendency,Antiphospholipid antibody syndrome,,TBL-01-00-018,JlvnlZo
"Blood, blood-forming organs, lymphatic system",thrombotic tendency,Disseminated intravascular coagulation <DIC,,TBL-01-00-019,JlvnlZ0
"Blood, blood-forming organs, lymphatic system",thrombotic tendency,Hemolytic-uremic syndrome <HUS,,TBL-01-00-020,JlvnlZw
"Blood, blood-forming organs, lymphatic system",Thrombotic tendency,Thrombotic thrombocytopenic purpura <TTP,,TBL-01-00-021,JlvnlZs
"Blood, blood-forming organs, lymphatic system",Other important hematopoietic diseases,Agranulocytosis,,TBL-01-00-022,Jlvnlbs
"Blood, blood-forming organs, lymphatic system",Other important hematopoietic diseases,Hemophagocytic syndrome,,TBL-01-00-023,Jlvnlbw
"Blood, blood-forming organs, lymphatic system",Other important hematopoietic diseases,Graft-versus-host disease (GVHD),,TBL-01-00-024,Jlvnlb4
Nervous system,Cerebrovascular Disorders,Cerebral hemorrhage,●,TBL-01-00-025,JlvnlcA
Nervous system,Cerebrovascular disorders,Subarachnoid hemorrhage,●,TBL-01-00-026,JlvnlcE
Nervous system,Cerebrovascular disorders,Cerebral infarction,●,TBL-01-00-027,JlvnlcQ
Nervous system,Cerebrovascular disorders,Transient ischemic attack,●,TBL-01-00-028,JlvnlcY
