item,index,UID
blood count,TBL-06-01-001,JkxirwY
Biochemistry Tests,TBL-06-01-002,Jli6WW4
Coagulation/Fibrinolysis Tests,TBL-06-01-003,Jli6WW8
Immunoserology,TBL-06-01-004,Jli6WXE
Urinalysis,TBL-06-01-005,Jli6WXI
Fecal examination,TBL-06-01-006,Jli6WXQ
"Blood typing (ABO, RhD), blood cross-compatibility (cross-match) test, irregular antibody test",TBL-06-01-007,Jkxir08
Arterial blood gas analysis,TBL-06-01-008,JkxirxY
Pregnancy reaction test,TBL-06-01-009,Jkxiryk
"Bacteriology (bacterial smear, culture, identification, drug sensitivity testing)",TBL-06-01-010,JkxirxU
Cerebrospinal fluid,TBL-06-01-011,Jkxirxc
Pleural fluid test,TBL-06-01-012,Jli6TOw
Ascites fluid test,TBL-06-01-013,Jli6TO0
Histopathology and cytology tests (including intraoperative rapid diagnosis),TBL-06-01-014,Jkxirwk
Chromosome and genetic tests,TBL-06-01-015,Jkxirwg
Electrocardiogram,TBL-06-01-016,JkxirxQ
Respiratory function tests,TBL-06-01-017,Jli6Y7U
Endocrine and metabolic function tests,TBL-06-01-018,Jli6Y7Y
Electroencephalography,TBL-06-01-019,Jli6Y7c
Ultrasonography,TBL-06-01-020,JkxirxA
X-Ray Radiography,TBL-06-01-021,Jkxirw4
CT Examination,TBL-06-01-022,Jli6aBM
MRI Examination,TBL-06-01-023,Jli6aBU
Nuclear medicine examination,TBL-06-01-024,Jkxirxk
Endoscopy,TBL-06-01-025,Jkxirw8
