index,id,system,category,item,basic
TBL-01-00-001,JlvnlXM,"Blood, Hematopoietic and Lymphatic System",anemia,Iron deficiency anemia,●
TBL-01-00-002,JlvnlYA,"Blood, Hematopoietic and Lymphatic System",anemia,Hemorrhagic anemia,
TBL-01-00-003,JlvnlYE,"Blood, hematopoietic and lymphatic system",Anemia,Renal anemia,
TBL-01-00-004,JlvnlXY,"Blood, blood-forming organs, lymphatic system",Anemia,Paroxysmal nocturnal hemoglobinuria,
TBL-01-00-005,JlvnlXg,"Blood, blood-forming organs, lymphatic system",Anemia,Aplastic anemia,
TBL-01-00-006,JlvnlXs,"Blood, blood-forming organs, lymphatic system",Anemia,Myelodysplastic syndrome,
TBL-01-00-007,JlvnlXw,"Blood, blood-forming organs, lymphatic system",Anemia,Autoimmune hemolytic anemia,
TBL-01-00-008,JlvnlYM,"Blood, blood-forming organs, lymphatic system",Anemia,Vitamin B12 deficiency anemia,●
TBL-01-00-009,JlvnlYQ,"Blood, blood-forming organs, lymphatic system",Anemia,Folate deficiency anemia,
TBL-01-00-010,JlvnlYw,"Blood, blood-forming organs, lymphatic system",Bleeding tendency,Hyperplastic spleen,
TBL-01-00-011,JlvnlYs,"Blood, blood-forming organs, lymphatic system",Bleeding tendency,Immune thrombocytopenia <ITP,
TBL-01-00-012,JlvnlY8,"Blood, blood-forming organs, lymphatic system",Bleeding tendency,Hemophilia,
TBL-01-00-013,JlvnlZE,"Blood, blood-forming organs, lymphatic system",Bleeding tendency,Disseminated intravascular coagulation (DIC),●
TBL-01-00-014,JlvnlZI,"Blood, blood-forming organs, lymphatic system",bleeding tendency,Hemolytic uremic syndrome <HUS,
TBL-01-00-015,JlvnlZQ,"Blood, blood-forming organs, lymphatic system",bleeding tendency,Thrombotic thrombocytopenic purpura <TTP,
TBL-01-00-016,JlvnlZY,"Blood, blood-forming organs, lymphatic system",bleeding tendency,Vitamin K deficiency,
TBL-01-00-017,JlvnlZk,"Blood, blood-forming organs, lymphatic system",thrombotic tendency,"Protein C, protein S, and antithrombin deficiency",
TBL-01-00-018,JlvnlZo,"Blood, blood-forming organs, lymphatic system",Thrombotic tendency,Antiphospholipid antibody syndrome,
TBL-01-00-019,JlvnlZ0,"Blood, blood-forming organs, lymphatic system",thrombotic tendency,Disseminated intravascular coagulation <DIC,
TBL-01-00-020,JlvnlZw,"Blood, blood-forming organs, lymphatic system",thrombotic tendency,Hemolytic-uremic syndrome <HUS,
TBL-01-00-021,JlvnlZs,"Blood, blood-forming organs, lymphatic system",Thrombotic tendency,Thrombotic thrombocytopenic purpura <TTP,
TBL-01-00-022,Jlvnlbs,"Blood, blood-forming organs, lymphatic system",Other important hematopoietic diseases,Agranulocytosis,
TBL-01-00-023,Jlvnlbw,"Blood, blood-forming organs, lymphatic system",Other important hematopoietic diseases,Hemophagocytic syndrome,
TBL-01-00-024,Jlvnlb4,"Blood, blood-forming organs, lymphatic system",Other important hematopoietic diseases,Graft-versus-host disease (GVHD),
TBL-01-00-025,JlvnlcA,Nervous system,Cerebrovascular Disorders,Cerebral hemorrhage,●
TBL-01-00-026,JlvnlcE,Nervous system,Cerebrovascular disorders,Subarachnoid hemorrhage,●
TBL-01-00-027,JlvnlcQ,Nervous system,Cerebrovascular disorders,Cerebral infarction,●
TBL-01-00-028,JlvnlcY,Nervous system,Cerebrovascular disorders,Transient ischemic attack,●
TBL-01-00-029,Jlvnlcg,Nervous System,Cerebrovascular disorders,Cerebral aneurysm,
TBL-01-00-030,Jlvnlck,Nervous System,Cerebrovascular disorder,Cerebral arteriovenous malformation,
TBL-01-00-031,Jlvnlcs,Nervous System,Cerebrovascular disorders,Moyamoya disease,
TBL-01-00-032,Jlvnlcw,Nervous System,"Infectious, Inflammatory and Demyelinating Diseases",Encephalitis / meningitis,●
TBL-01-00-033,Jlvnlc4,Nervous System,"Infectious, Inflammatory, and Demyelinating Diseases",Encephalopathy,
TBL-01-00-034,Jlvnlc8,Nervous System,"Infectious, Inflammatory, and Demyelinating Diseases",Brain abscess,
TBL-01-00-035,JlvnldE,Nervous System,"Infectious, Inflammatory, and Demyelinating Diseases",Multiple sclerosis,●
TBL-01-00-036,JlvnldM,Nervous System,Dementia and Degenerative Diseases,Alzheimer's dementia,●
TBL-01-00-037,JlvnldQ,Nervous System,Dementia and Degenerative Diseases,Lewy body dementia,
TBL-01-00-038,JlvnldY,Nervous System,Dementia and Degenerative Diseases,Cerebrovascular dementia,
TBL-01-00-039,Jlvnldc,Nervous System,Dementia and Degenerative Diseases,Parkinson's disease,●
TBL-01-00-040,Jlvnldk,Nervous System,Dementia and Degenerative Diseases,Amyotrophic lateral sclerosis,
TBL-01-00-041,Jlvnldo,Nervous System,Dementia and Degenerative Diseases,Multiple System Atrophy,
TBL-01-00-042,Jlvnldw,Nervous System,"Peripheral Nerve, Neuromuscular Junction and Muscle Diseases",Nutritional Neuropathy,
TBL-01-00-043,Jlvnld0,Nervous System,Peripheral Nerve and Nerve Muscle Junction and Muscle Diseases,Addictive neuropathy,
TBL-01-00-044,Jlvnld8,Nervous System,Peripheral Nerve and Nerve Muscle Junction and Muscle Disease,Hereditary neuropathies,
TBL-01-00-045,JlvnleA,Nervous System,Peripheral Nerve and Nerve Muscle Junction and Muscle Disease,Guillain-Barré syndrome,
TBL-01-00-046,JlvnleE,Nervous System,"Peripheral nerve, nerve, muscle junction, muscle disease",Facial nerve palsy (including Bell's palsy and Ramsay Hunt syndrome),
TBL-01-00-047,JlvnleI,Nervous System,"Peripheral nerve, nerve, muscle junction, muscle disease",Recurrent nerve palsy,
TBL-01-00-048,JlvnleQ,Nervous System,"Peripheral nerve, nerve, muscle junction, muscle disease","Major neuropathies (trigeminal neuralgia, sciatica)",
TBL-01-00-049,JlvnleU,Nervous System,"Peripheral nerve, nerve, muscle junction, muscle disease",Myasthenia gravis,●
TBL-01-00-050,Jlvnlec,Nervous System,"Peripheral nerve, nerve, muscle junction, muscle disease",Progressive muscular dystrophy,
TBL-01-00-051,Jlvnleg,Nervous System,"Peripheral nerve, nerve, muscle junction, muscle disease",Periodic tetraplegia,
TBL-01-00-052,Jlvnleo,Nervous System,"Paroxysmal, Functional, and Autonomic Nervous System Diseases",Generalized epilepsy,●
TBL-01-00-053,Jlvnles,Nervous System,"Paroxysmal, Functional, Autonomic Nervous System Diseases",Localization-related epilepsy,●
TBL-01-00-054,Jlvnle0,Nervous System,"Paroxysmal, Functional, Autonomic Nervous System Diseases",Migraine headache,●
TBL-01-00-055,Jlvnle8,Nervous System,"Paroxysmal, Functional, Autonomic Nervous System Diseases",Tension-type headache,●
TBL-01-00-056,JlvnlfA,Nervous System,Head injury,Cerebral contusion,
TBL-01-00-057,JlvnlfI,Nervous System,Head injury,Concussion,
TBL-01-00-058,JlvnlfU,Nervous System,Head injury,Acute epidural hematoma,●
TBL-01-00-059,JlvnlfY,Nervous System,Head injury,Subdural hematoma (acute and chronic),●
TBL-01-00-060,Jlvnlfg,Nervous System,Head injury,Skull fracture,
TBL-01-00-061,Jlvnlfo,Nervous System,Head injury,Higher functional impairment after head injury,
TBL-01-00-062,JlvnlgE,Dermal system,Eczema & Dermatitis,Eczema reaction (eczema triangle),●
TBL-01-00-063,Jlvnlmk,dermal system,Other,prurigo,
