index,id,category,item
TBL-02-18-001,JlAKp18,Symptoms,Fever/Hyperthermia
TBL-02-18-002,JlAKp2M,Symptoms,General malaise
TBL-02-18-003,JlAKp2E,Symptoms,"Consciousness disorder, syncope"
TBL-02-18-004,JlAKp2A,Symptoms,Convulsions
TBL-02-18-005,JlAKp2c,Symptoms,edema
TBL-02-18-006,JlAKp2U,Symptoms,Rash
TBL-02-18-007,JlAKp2s,Symptoms,Cough/sputum
TBL-02-18-008,JlAKp2w,Symptoms,Blood sputum/hematoptysis
TBL-02-18-009,JlAKp2o,Symptoms,Dyspnea/shortness of breath
TBL-02-18-010,JlAKp2k,Symptoms,"Chest pain, chest tightness"
TBL-02-18-011,JlAKp24,Symptoms,Abdominal pain
TBL-02-18-012,JlAKp28,Symptoms,Nausea/vomiting
TBL-02-18-013,JlAKp3E,Symptoms,Hematemesis/hematochezia
TBL-02-18-014,JlAKp3A,Symptoms,"Constipation, diarrhea, bloody stools"
TBL-02-18-015,JlAKp2Q,Symptoms,Jaundice
TBL-02-18-016,JlAKp2Y,Symptoms,Lymphadenopathy
TBL-02-18-017,JlAKp3I,Symptoms,Hematuria
TBL-02-18-018,JlAKp20,Symptoms,Headache/Heaviness of head
TBL-02-18-019,JlAKp3Q,Symptoms,lumbar/back pain
TBL-02-18-020,JlAKp3M,Symptoms,Arthralgia/joint swelling
TBL-02-18-021,JlAKp3U,Symptoms,sore throat
TBL-02-18-022,JlAKp2g,Symptoms,pleural effusion
TBL-02-18-023,JmnSckQ,Symptoms,proteinuria
TBL-02-18-024,JlAKp2I,Symptoms,Dehydration
TBL-02-18-025,JlAKp14,Symptoms,Shock
