index,id,item,ddx
TBL-05-00-001,JlAK6lk,fever,"Meningitis, upper respiratory tract infection, tonsillitis, pneumonia, tuberculosis, acute sinusitis, urinary tract infection, cholecystitis, cholangitis, drug-induced, influenza, cellulitis, infective endocarditis"
TBL-05-00-002,JlAK6lo,General malaise,"Tuberculosis, hepatitis, heart failure, depression, hypothyroidism, iron deficiency anemia"
TBL-05-00-003,JlAK6ls,Anorexia,"Peptic ulcer, acute hepatitis, depression, acute adrenal insufficiency"
TBL-05-00-004,JlAK6lw,Weight loss,"Heart failure, nephrotic syndrome, hypothyroidism"
TBL-05-00-005,JlAK6l0,Weight gain,"Malignant tumors in general, diabetes mellitus, hyperthyroidism, depression, chronic obstructive pulmonary disease (COPD), anorexia nervosa (anorexia)"
TBL-05-00-006,JlAK6l4,Disturbance of consciousness,"Subarachnoid hemorrhage, intracranial hematoma, encephalitis, cerebral hemorrhage, cerebral infarction, meningitis, drug poisoning, alcoholism, epilepsy, myocardial infarction, acute aortic dissection, acute gastrointestinal bleeding, sepsis, hypoglycemia, shock, CO2 narcosis, abnormal sodium metabolism"
TBL-05-00-007,JlAK6l8,Fainting,"Arrhythmia, valvular disease (aortic valve disease), epilepsy, pulmonary embolism"
TBL-05-00-008,JlAK6mA,Convulsions,"stroke, cerebral hemorrhage, encephalitis, encephalopathy, febrile convulsion, epilepsy"
TBL-05-00-009,JlAK6mE,Dizziness,"Benign paroxysmal positional vertigo, cerebral hemorrhage, cerebral infarction, Meniere's disease, vestibular neuritis"
TBL-05-00-010,JlAK6mI,edema,"Deep vein thrombosis, heart failure, nephrotic syndrome, chronic kidney disease, liver cirrhosis, hypothyroidism, drug-induced, lymphedema, angioedema"
TBL-05-00-011,JlAK6mM,Rash,"Viral rash (measles), viral rash (rubella), viral rash (varicella), viral rash (herpes), urticaria, drug rash, dermatitis (atopic dermatitis), eczema, erythema nodosum, erythema infectiosum, herpes zoster"
TBL-05-00-012,JlAK6mQ,Cough/sputum,"Upper respiratory tract inflammation, sinusitis, bronchitis, pneumonia, pulmonary tuberculosis, lung cancer, interstitial lung disease, drug-induced, bronchial asthma, allergic rhinitis, gastroesophageal reflux disease (GERD), common cold, pertussis"
TBL-05-00-013,JlAK6mU,Hematochezia/hematoptysis,"Pulmonary tuberculosis, lung cancer, bronchiectasis"
TBL-05-00-014,JlAK6mY,Dyspnea,"Pulmonary embolism, acute respiratory distress syndrome (ARDS), bronchial asthma, chronic obstructive pulmonary disease (COPD), pneumonia, interstitial lung disease, pulmonary tuberculosis, tension pneumothorax, spontaneous pneumothorax, heart failure, anaphylaxis, acute epiglottitis, choking"
TBL-05-00-015,JlAK6mc,chest pain,"Pulmonary embolism, pneumothorax, acute coronary syndrome, acute aortic dissection, ruptured aortic aneurysm, panic disorder, herpes zoster, pleurisy, acute pericarditis"
TBL-05-00-016,JlAK6mg,palpitations,"Arrhythmia, hyperthyroidism, iron deficiency anemia, secondary anemia, panic disorder, anxiety disorder"
TBL-05-00-017,JlAK6mk,Dysphagia,"Cerebral hemorrhage, cerebral infarction, tonsillitis, esophageal cancer"
