index,id,item
TBL-06-00-001,JkxirwY,blood count
TBL-06-00-002,Jli6WW4,Biochemistry Tests
TBL-06-00-003,Jli6WW8,Coagulation/Fibrinolysis Tests
TBL-06-00-004,Jli6WXE,Immunoserology
TBL-06-00-005,Jli6WXI,Urinalysis
TBL-06-00-006,Jli6WXQ,Fecal examination
TBL-06-00-007,Jkxir08,"Blood typing (ABO, RhD), blood cross-compatibility (cross-match) test, irregular antibody test"
TBL-06-00-008,JkxirxY,Arterial blood gas analysis
TBL-06-00-009,Jkxiryk,Pregnancy reaction test
TBL-06-00-010,JkxirxU,"Bacteriology (bacterial smear, culture, identification, drug sensitivity testing)"
TBL-06-00-011,Jkxirxc,Cerebrospinal fluid
TBL-06-00-012,Jli6TOw,Pleural fluid test
TBL-06-00-013,Jli6TO0,Ascites fluid test
TBL-06-00-014,Jkxirwk,Histopathology and cytology tests (including intraoperative rapid diagnosis)
TBL-06-00-015,Jkxirwg,Chromosome and genetic tests
TBL-06-00-016,JkxirxQ,Electrocardiogram
TBL-06-00-017,Jli6Y7U,Respiratory function tests
TBL-06-00-018,Jli6Y7Y,Endocrine and metabolic function tests
TBL-06-00-019,Jli6Y7c,Electroencephalography
TBL-06-00-020,JkxirxA,Ultrasonography
TBL-06-00-021,Jkxirw4,X-Ray Radiography
TBL-06-00-022,Jli6aBM,CT Examination
TBL-06-00-023,Jli6aBU,MRI Examination
TBL-06-00-024,Jkxirxk,Nuclear medicine examination
TBL-06-00-025,Jkxirw8,Endoscopy
