section,title,filename
医学教育モデル・コア・カリキュラムの考え方,,philosophy
医学教育モデル・コア・カリキュラム改訂の概要,,overview
第3章　学修方略と評価,学修方略,strategy
第3章　学修方略と評価,学習者評価,assessment
第3章　学修方略と評価/事例集,プロフェッショナリズム,case_PR
第3章　学修方略と評価/事例集,人体解剖学,case_PS
第3章　学修方略と評価/事例集,患者中心の医療の方法,case_GE
第3章　学修方略と評価/事例集,スポーツ医学,case_GE2
第3章　学修方略と評価/事例集,共に学ぶ姿勢,case_LL
第3章　学修方略と評価/事例集,研究室配属,case_RE
第3章　学修方略と評価/事例集,臨床微生物学・感染症診療,case_PS2
第3章　学修方略と評価/事例集,医学における情報科学技術の活用,case_IT
第3章　学修方略と評価/事例集,医療面接,case_CM
第3章　学修方略と評価/事例集,多職種連携教育,case_IP
第3章　学修方略と評価/事例集,社会における医療の役割,case_SO
臨床実習ガイドライン,序章,clinical_preface
臨床実習ガイドライン,実施体制・実施環境,clinical_environment
臨床実習ガイドライン,学修目標,clinical_goals
臨床実習ガイドライン,方略,clinical_strategy
臨床実習ガイドライン,評価,clinical_assessement
臨床実習ガイドライン/参考資料,学修と評価の記録,clinical_assessement_example
臨床実習ガイドライン/参考資料,学生を信頼し任せられる役割（EPAs）,EPA
参考資料,参考資料1「医学教育モデル・コア・カリキュラム」今回の改訂までの経緯,ref_history
参考資料,参考資料2　医学教育モデル・コア・カリキュラム及び歯学教育モデル・コア・カリキュラム改訂に関する恒常的な組織の設置について,ref_team
参考資料,参考資料3　医師・歯科医師・薬剤師が関わる法令一覧,ref_low
