index,UID,l1_spell,l1,l1_desc
PR,JnGV10M,**Pr**ofessionalism,プロフェッショナリズム,人の命に深く関わり健康を守るという医師の職責を十分に自覚し、多様性・人間性を尊重し、利他的な態度で診療にあたりながら、医師としての道を究めていく。
GE,JnGV10U,**Ge**neralism,総合的に患者・生活者をみる姿勢,患者の抱える問題を臓器横断的に捉えた上で、心理社会的背景も踏まえ、ニーズに応じて柔軟に自身の専門領域にとどまらずに診療を行い、個人と社会のウェルビーイングを実現する。
LL,JnGV10Y,**L**ifelong **L**earning,生涯にわたって共に学ぶ姿勢,安全で質の高い医療を実践するために絶えず省察し、他の医師・医療者と共に研鑽しながら、生涯にわたって自律的に学び続け、積極的に教育に携わっていく。
RE,JnGV10g,**Re**search,科学的探究,医学・医療の発展のための医学研究の重要性を理解し、科学的思考を身に付けながら、学術・研究活動に関与して医学を創造する。
PS,JnGV10k,**P**roblem **S**olving,専門知識に基づいた問題解決能力,医学及び関連する学問分野の知識を身に付け、根拠に基づいた医療を基盤に、経験も踏まえながら、患者の抱える問題を解決する。
IT,JnGV10s,**I**nformation **T**echnology,情報・科学技術を活かす能力,発展し続ける情報化社会を理解し、人工知能等の情報・科学技術を活用しながら、医学研究・医療を実践する。
CS,JnGV10w,**C**linical **S**kills,患者ケアのための診療技能,患者の苦痛や不安感に配慮し、確実で信頼される診療技能を磨き、患者中心の診療を実践する。
CM,JnGV104,**C**o**m**munication,コミュニケーション能力,患者及び患者に関わる人たちと、相手の状況を考慮した上で良好な関係性を築き、患者の意思決定を支援して、安全で質の高い医療を実践する。
IP,JnGV11A,**I**nter**p**rofessional collaboration,多職種連携能力,医療・保健・福祉・介護など患者・家族に関わる全ての人々の役割を理解し、お互いに良好な関係を築きながら、患者・家族・地域の課題を共有し、関わる人々と協働することができる。
SO,JnGV11E,Medicine and **So**ciety,社会における医療の役割の理解,医療は社会の一部であるという認識を持ち、経済的な観点・地域性の視点・国際的な視野なども持ちながら、公正な医療を提供し、健康の代弁者として公衆衛生の向上に努める。
