index,UID,l2,l2_desc,l1_UID
PR-01,JnGUEbM,信頼,社会から信頼を得る上で必要なことを常に考え行動する。,JnGV10M
PR-02,JnGUEbQ,思いやり,品格と礼儀を持って、他者を適切に理解し、思いやりを持って接する。,JnGV10M
PR-03,JnGUEbg,教養,医師に相応しい教養を身につける。,JnGV10M
PR-04,JnGUEbk,生命倫理,医療における倫理の重要性を学ぶ。,JnGV10M
GE-01,JnGUR4c,全人的な視点とアプローチ,患者の抱える問題を臓器横断的だけでなく心理・社会的視点で捉え、専門領域にとどまらない姿勢で責任をもって診療に関わり、最善の意思決定や行動科学に基づく臨床実践に関与できる。,JnGV10U
GE-02,JnGUR4k,地域の視点とアプローチ,地域の実情に応じた医療・保健・福祉・介護の現状及び課題を理解し、医療の基本としてのプライマリ・ケアの実践、ヘルスケアシステムの質の向上に貢献するための能力を獲得する。,JnGV10U
GE-03,JnGUR4s,人生の視点とアプローチ,患者・生活者の成長、発達、老化、死のプロセスを踏まえ、経時的に患者・家族・生活者に起こり得る精神・社会・医学的な問題に関与できる。,JnGV10U
GE-04,JnGUR4w,社会の視点とアプローチ,文化的・社会的文脈のなかで生成される健康観や人々の言動・関係性を理解し、文化人類学・社会学（主に医療人類学・医療社会学）の視点から、それを臨床実践に活用できる。,JnGV10U
LL-01,JnGUHWw,生涯学習,生涯学び続ける価値観を形成する。,JnGV10Y
LL-02,JnGUHW0,医療者教育,医師・医学生に限らず、同僚や後輩を含む医療者への教育に貢献する。,JnGV10Y
RE-01,JnGT6dY,リサーチマインド,知的好奇心を満たす喜びとオリジナリティの重要性を知る。,JnGV10g
RE-02,JnGT6dc,既知の知,先人の偉業を知り、新たな発想を育む。,JnGV10g
RE-03,JnGT6dk,研究の実施,自然科学・人文社会科学の研究手法を体験し理解する。,JnGV10g
RE-04,JnGT6do,研究の発信,研究の意義・内容を他者に説明し討論する。,JnGV10g
RE-05,JnGT6dw,研究倫理,法令遵守ならびに人権尊重し、医学生として正しく行動する。,JnGV10g
PS-01,JnGT9qY,基礎医学,分子レベルから個体レベルまでの、生命現象、細胞から個体の構成と機能、個体の反応を理解し、その破綻による病因と病態を理解する。,JnGV10k
PS-02,JnGT9qc,人体各器官の正常構造と機能、病態、診断、治療,人体各器官の構造と機能を理解し、主な疾患の病因、病態生理、症候、診断と治療の知識を臨床的に使用できる。,JnGV10k
PS-03,JnGT9qk,全身に及ぶ生理的変化、病態、診断、治療,器官横断的で全身に及ぶ生理的変化を理解し、主な疾患の病因、病態生理、症候、診断と治療の知識を臨床的に使用できる。,JnGV10k
IT-01,JnGUMDo,情報・科学技術に向き合うための倫理観とルール,医学研究・医療等の場面で、情報科学技術を取り扱う際に必要な倫理観・デジタルプロフェッショナリズム及び基本的原則を理解する。,JnGV10s
IT-02,JnGUMDw,医療とそれを取り巻く社会に必要な情報・科学技術の原理,安全かつ質の高い医学研究・医療に必要な情報・科学技術に関する基本理論を理解し、その知識を自身の学修や医療へ適応する姿勢を体得する。,JnGV10s
IT-03,JnGUMD0,診療現場における情報・科学技術の活用,遠隔医療を含む患者診療、学修の最適化に有効なICTツールの実践スキル及びデジタルコミュニケーションスキルを修得する。,JnGV10s
CS-01,JnGUW2g,患者の情報収集,患者本人、家族、医療スタッフ等関係する様々なリソースを活用し、診療に必要な情報を収集できる。,JnGV10w
CS-02,JnGUW2o,患者情報の統合、分析と評価、診療計画,得られた全ての情報を統合し、様々な観点から分析し、必要な医療について評価した上で提供すべき医療を計画できる。,JnGV10w
