index,UID,l3,l2_UID
PR-01-01,JnIA6vg,誠実さ,JnGUEbM
PR-01-02,JnIA6vk,省察,JnGUEbM
PR-02-01,JnIA6vs,思いやり,JnGUEbQ
PR-02-02,JnIA6vw,他者理解と自己理解,JnGUEbQ
PR-02-03,JnIA6v4,品格・礼儀,JnGUEbQ
PR-03-01,JnIA6wE,教養,JnGUEbg
PR-04-01,JnIA6wI,臨床倫理,JnGUEbk
GE-01-01,JnICKV8,臓器横断的な診療,JnGUR4c
GE-01-02,JnICKWA,生物・心理・社会的な問題への包括的な視点,JnGUR4c
GE-01-03,JnICKWI,患者中心の医療,JnGUR4c
GE-01-04,JnICKWM,根拠に基づいた医療<EBM>,JnGUR4c
GE-01-05,JnICKWU,行動科学,JnGUR4c
GE-01-06,JnICKWY,緩和ケア,JnGUR4c
GE-02-01,JnICKWg,プライマリ・ケアにおける基本概念,JnGUR4k
GE-02-02,JnICKWk,地域におけるプライマリ・ケア,JnGUR4k
GE-02-03,JnICKWo,医療資源に応じたプライマリ・ケア,JnGUR4k
GE-02-04,JnICKWs,在宅におけるプライマリ・ケア,JnGUR4k
GE-03-01,JnICKW0,人生のプロセス,JnGUR4s
GE-03-02,JnICKW4,小児期全般,JnGUR4s
GE-03-03,JnICKXA,胎児期、新生児期、乳幼児期,JnGUR4s
GE-03-04,JnICKXE,学童期、思春期、青年期、成人期,JnGUR4s
GE-03-05,JnICKXM,老年期,JnGUR4s
GE-03-06,JnICKXQ,終末期,JnGUR4s
GE-04-01,JnICKXY,医学的・文化的・社会的文脈における健康,JnGUR4w
GE-04-02,JnICKXc,社会科学,JnGUR4w
LL-01-01,JnIBYXQ,生涯学習の実践,JnGUHWw
LL-01-02,JnIBYXY,キャリア開発,JnGUHWw
LL-02-01,JnIBYXM,医療者教育の実践,JnGUHW0
RE-01-01,JnIAX18,能動的姿勢,JnGT6dY
RE-01-02,JnIAX2I,探究心,JnGT6dY
RE-02-01,JnIAX2M,医学と医療,JnGT6dc
RE-02-02,JnIAX2U,論文読解,JnGT6dc
RE-03-01,JnIAX2Y,問い,JnGT6dk
RE-03-02,JnIAX2g,研究計画,JnGT6dk
RE-03-03,JnIAX2o,研究手法,JnGT6dk
RE-03-04,JnIAX2s,研究結果,JnGT6dk
RE-04-01,JnIAX20,研究発表,JnGT6do
RE-05-01,JnIAX24,適切な研究遂行,JnGT6dw
RE-05-02,JnIAX3A,対象者の保護,JnGT6dw
PS-01-01,JnIAssw,生命現象の科学,JnGT9qY
PS-01-02,JnIAss4,個体の構成と機能,JnGT9qY
PS-01-03,JnIAss8,個体の反応,JnGT9qY
PS-01-04,JnIAstE,病因と病態,JnGT9qY
PS-02-01,JnIAstI,総論,JnGT9qc
PS-02-02,JnIAstQ,血液・造血器・リンパ系(表[血液・造血器・リンパ系]),JnGT9qc
PS-02-03,JnIAstY,神経系(表[神経系]),JnGT9qc
PS-02-04,JnIAstc,皮膚系(表[皮膚系]),JnGT9qc
PS-02-05,JnIAstk,運動器（筋骨格）系(表[運動器（筋骨格）系]),JnGT9qc
PS-02-06,JnIAsto,循環器系(表[循環器系]),JnGT9qc
PS-02-07,JnIAstw,呼吸器系(表[呼吸器系]),JnGT9qc
PS-02-08,JnIAst0,消化器系(表[消化器系]),JnGT9qc
PS-02-09,JnIAst8,腎・尿路系（体液・電解質バランスを含む）(表[腎・尿路系（体液・電解質バランスを含む）]),JnGT9qc
PS-02-10,JnIAsuA,生殖器系(表[生殖器系]),JnGT9qc
PS-02-11,JnIAsuI,妊娠と分娩(表[妊娠と分娩]),JnGT9qc
PS-02-12,JnIAsuM,小児(表[小児]),JnGT9qc
PS-02-13,JnIAsuU,乳房(表[乳房]),JnGT9qc
PS-02-14,JnIAsuc,内分泌・栄養・代謝系(表[内分泌・栄養・代謝系]),JnGT9qc
PS-02-15,JnIAsug,眼・視覚系(表[眼・視覚系]),JnGT9qc
PS-02-16,JnIAsuo,耳鼻・咽喉・口腔系(表[耳鼻・咽喉・口腔系]),JnGT9qc
PS-02-17,JnIAsus,精神系(表[精神系]),JnGT9qc
PS-03-01,JnIAsu0,遺伝医療・ゲノム医療,JnGT9qk
PS-03-02,JnIAsu4,免疫・アレルギー,JnGT9qk
PS-03-03,JnIAsvA,感染症,JnGT9qk
PS-03-04,JnIAsvE,腫瘍,JnGT9qk
PS-03-05,JnIAsvM,救急・集中治療(表[救急・集中治療]),JnGT9qk
PS-03-06,JnIAsvU,放射線の生体影響と適切な利用、放射線障害,JnGT9qk
IT-01-01,JnIBpxU,情報・科学技術に向き合うための準備,JnGUMDo
IT-01-02,JnIBpxY,情報・科学技術利用にあたっての倫理観とルール,JnGUMDo
