分類,項目名,index,UID
構造と機能,心臓の構造と分布する血管・神経、冠動脈の特長とその分布域,TBL-KNcardio-001,JlAKpeQ
構造と機能,心筋細胞の微細構造と機能,TBL-KNcardio-002,JlAKpeU
構造と機能,心筋細胞の電気現象と心臓の興奮（刺激）伝導系,TBL-KNcardio-003,JlAKpeY
構造と機能,興奮収縮連関,TBL-KNcardio-004,JlAKpec
構造と機能,体循環、肺循環と胎児・胎盤循環,TBL-KNcardio-005,JlAKpeg
構造と機能,大動脈と主な分枝（頭頸部、上肢、胸部、腹部、下肢）を図示し、分布域,TBL-KNcardio-006,JlAKpek
構造と機能,主な静脈、門脈系と上・下大静脈系,TBL-KNcardio-007,JlAKpeo
構造と機能,毛細血管における物質・水分交換,TBL-KNcardio-008,JlAKpes
構造と機能,胸管を経由するリンパの流れ,TBL-KNcardio-009,JlAKpew
構造と機能,心周期にともなう血行動態,TBL-KNcardio-010,JlAKpe0
構造と機能,心機能曲線と心拍出量の調節機序,TBL-KNcardio-011,JlAKpe4
構造と機能,主な臓器（脳、心臓、肺、腎臓）の循環調節,TBL-KNcardio-012,JlAKpe8
構造と機能,血圧調節の機序,TBL-KNcardio-013,JlAKpfA
構造と機能,体位や運動に伴う循環反応とその機序,TBL-KNcardio-014,JlAKpfE
症候,体重増加,TBL-KNcardio-015,JlAKpfg
症候,意識障害,TBL-KNcardio-016,JlAKpfk
症候,失神,TBL-KNcardio-017,JlAKpfo
症候,浮腫,TBL-KNcardio-018,JlAKpfc
症候,咳・痰,TBL-KNcardio-019,JlAKpfY
症候,呼吸困難,TBL-KNcardio-020,JlAKpfU
症候,胸痛,TBL-KNcardio-021,JlAKpfI
症候,動悸,TBL-KNcardio-022,JlAKpfQ
症候,腰背部痛,TBL-KNcardio-023,JlAKpfM
症候,胸水,TBL-KNcardio-024,JlAKpfs
検査方法,胸部単純エックス線撮影,TBL-KNcardio-025,JlAKpfw
検査方法,心電図（安静時・運動負荷心電図・Holter心電図）,TBL-KNcardio-026,JlAKpf0
検査方法,心臓超音波検査,TBL-KNcardio-027,JlAKpf4
検査方法,心臓シンチグラフィ－,TBL-KNcardio-028,JlAKpf8
検査方法,冠動脈造影、冠動脈CT、MRI,TBL-KNcardio-029,JlAKpgA
検査方法,心カテーテル検査（心内圧・心機能・シャント率の測定）,TBL-KNcardio-030,JlAKpgE
特異的治療法,虚血性心疾患に対する血行再建術（経皮的冠動脈形成術・ステント留置術・冠動脈バイパス術）,TBL-KNcardio-031,JlAKpgI
特異的治療法,不整脈に対する非薬物療法（カテーテルアブレーション・電気的除細動・ペースメーカー植え込み・植え込み型除細動器）,TBL-KNcardio-032,JlAKpgM
特異的治療法,心臓リハビリテーションなどの疾病管理プログラム,TBL-KNcardio-033,JlAKpgQ
