分類,項目名,index,UID
構造と機能,ホルモンの構造的分類、作用機序及び分泌調節機能,TBL-02-13-001,JlAKpr8
構造と機能,視床下部ホルモン・下垂体ホルモンの名称、作用と相互関係,TBL-02-13-002,JlAKpsA
構造と機能,甲状腺と副甲状腺(上皮小体)から分泌されるホルモンの作用と分泌調節機構,TBL-02-13-003,JlAKpsE
構造と機能,副腎の構造と分泌されるホルモンの作用と分泌調節機構,TBL-02-13-004,JlAKpsI
構造と機能,膵島から分泌されるホルモンの作用,TBL-02-13-005,JlAKpsM
構造と機能,男性ホルモン・女性ホルモンの合成・代謝経路と作用,TBL-02-13-006,JlAKpsQ
構造と機能,三大栄養素、ビタミン、微量元素の消化吸収と栄養素の生物学的利用効率,TBL-02-13-007,JlAKpsU
構造と機能,糖質・タンパク質・脂質の代謝経路と相互作用,TBL-02-13-008,JlAKpsY
構造と機能,血中ホルモン濃度に影響を与える因子及びホルモンの日内変動,TBL-02-13-009,JlAKpsc
症候,体重減少,TBL-02-13-010,JlAKpsg
症候,体重増加,TBL-02-13-011,JlAKpsk
症候,月経異常,TBL-02-13-012,JlAKpso
症候,低身長,TBL-02-13-013,JlAKpss
症候,甲状腺腫,TBL-02-13-014,JlAKpsw
症候,ホルモンの過剰または欠乏がもたらす身体症状,TBL-02-13-015,JlAKps0
症候,エネルギー摂取の過剰または欠乏がもたらす身体症状,TBL-02-13-016,JlAKps4
検査方法,血中・尿中ホルモン測定,TBL-02-13-017,JlAKps8
検査方法,内分泌機能検査、負荷試験,TBL-02-13-018,JlAKptA
