分類,項目名,index,UID
構造と機能,眼球と付属器の構造,TBL-KNeye-001,JlAKptw
構造と機能,視覚情報の受容の仕組みと伝導路,TBL-KNeye-002,JlAKpt0
構造と機能,眼球運動の仕組み,TBL-KNeye-003,JlAKpt4
構造と機能,対光反射、輻輳反射、角膜反射の機能,TBL-KNeye-004,JlAKpt8
症候,めまい,TBL-KNeye-005,JlAKpuA
症候,頭痛,TBL-KNeye-006,JlAKpuE
症候,悪心・嘔吐,TBL-KNeye-007,JlAKpuI
症候,視力障害,TBL-KNeye-008,JlAKpuM
症候,視野異常,TBL-KNeye-009,JlAKpuQ
症候,眼球運動障害,TBL-KNeye-010,JlAKpuU
症候,眼脂・眼の充血,TBL-KNeye-011,JlAKpuY
症候,飛蚊症,TBL-KNeye-012,JlAKpuc
症候,眼痛,TBL-KNeye-013,JlAKpug
検査方法,視力検査,TBL-KNeye-014,JlAKpuk
検査方法,視野検査,TBL-KNeye-015,JlAKpuo
検査方法,細隙灯顕微鏡検査,TBL-KNeye-016,JlAKpus
検査方法,眼圧検査,TBL-KNeye-017,JlAKpuw
検査方法,眼底検査,TBL-KNeye-018,JlAKpu0
特異的治療法,レーザー治療,TBL-KNeye-019,JlAKpu4
