分類,項目名,index,UID
構造と機能,各消化器官の位置、形態と関係する血管,TBL-KNgastroenterology-001,JlAKpjQ
構造と機能,腹膜と臓器の関係,TBL-KNgastroenterology-002,JlAKpjU
構造と機能,食道・胃・小腸・大腸の基本構造と部位による違い,TBL-KNgastroenterology-003,JlAKpjY
構造と機能,消化管運動の仕組み,TBL-KNgastroenterology-004,JlAKpjc
構造と機能,消化器官に対する自律神経の作用,TBL-KNgastroenterology-005,JlAKpjg
構造と機能,肝の構造と機能,TBL-KNgastroenterology-006,JlAKpjk
構造と機能,胃液の作用と分泌機序,TBL-KNgastroenterology-007,JlAKpjo
構造と機能,胆汁の作用と胆嚢収縮の調節機序,TBL-KNgastroenterology-008,JlAKpjs
構造と機能,膵外分泌系の構造と膵液の作用,TBL-KNgastroenterology-009,JlAKpjw
構造と機能,小腸における消化・吸収の仕組み,TBL-KNgastroenterology-010,JlAKpj0
構造と機能,大腸における糞便形成と排便の仕組み,TBL-KNgastroenterology-011,JlAKpj4
構造と機能,主な消化管ホルモンの作用,TBL-KNgastroenterology-012,JlAKpj8
構造と機能,歯、舌、唾液腺の構造と機能,TBL-KNgastroenterology-013,JlAKpkA
構造と機能,咀しゃくと嚥下の機構,TBL-KNgastroenterology-014,JlAKpkE
構造と機能,消化管の正常細菌叢（腸内細菌叢）の役割,TBL-KNgastroenterology-015,JlAKpkI
症候,食思（欲）不振,TBL-KNgastroenterology-016,JlAKpkU
症候,腹痛,TBL-KNgastroenterology-017,JlAKpkM
症候,悪心・嘔吐,TBL-KNgastroenterology-018,JlAKpkQ
症候,吐血,TBL-KNgastroenterology-019,JlAKpkg
症候,下血,TBL-KNgastroenterology-020,JlAKpkk
症候,便秘,TBL-KNgastroenterology-021,JlAKpkY
症候,下痢,TBL-KNgastroenterology-022,JlAKpkc
症候,黄疸,TBL-KNgastroenterology-023,JlAKpks
症候,腹部膨隆・腫瘤,TBL-KNgastroenterology-024,JlAKpko
症候,胸やけ,TBL-KNgastroenterology-025,JlAKpkw
症候,肝腫大,TBL-KNgastroenterology-026,JlAKpk0
検査方法,肝炎ウイルス検査,TBL-KNgastroenterology-027,JlAKpk4
検査方法,腫瘍マーカー（AFP・ CEA・ CA 19-9・ PIVKA-II 等）,TBL-KNgastroenterology-028,JlAKpk8
検査方法,画像検査（エックス線撮影・超音波検査・CT・MRI）,TBL-KNgastroenterology-029,JlAKplA
検査方法,内視鏡検査,TBL-KNgastroenterology-030,JlAKplE
検査方法,生検、細胞診,TBL-KNgastroenterology-031,JlAKplI
特異的治療法,経管・経腸栄養,TBL-KNgastroenterology-032,JlAKplM
特異的治療法,内視鏡治療（止血・凝固・クリッピング・硬化療法等）,TBL-KNgastroenterology-033,JlAKplQ
特異的治療法,血管内治療（動脈塞栓術等）,TBL-KNgastroenterology-034,JlAKplU
