分類,項目名,index,UID
症候,発熱・高体温,TBL-KNinfection-001,JlAKp18
症候,全身倦怠感,TBL-KNinfection-002,JlAKp2M
症候,意識障害,TBL-KNinfection-003,JlAKp2E
症候,けいれん,TBL-KNinfection-004,JlAKp2A
症候,浮腫,TBL-KNinfection-005,JlAKp2c
症候,発疹,TBL-KNinfection-006,JlAKp2U
症候,咳・痰,TBL-KNinfection-007,JlAKp2s
症候,血痰・喀血,TBL-KNinfection-008,JlAKp2w
症候,呼吸困難,TBL-KNinfection-009,JlAKp2o
症候,胸痛,TBL-KNinfection-010,JlAKp2k
症候,腹痛,TBL-KNinfection-011,JlAKp24
症候,悪心・嘔吐,TBL-KNinfection-012,JlAKp28
症候,吐血,TBL-KNinfection-013,JlAKp3E
症候,下血,TBL-KNinfection-014,JpeJNWo
症候,便秘,TBL-KNinfection-015,JlAKp3A
症候,下痢,TBL-KNinfection-016,JpeJNWw
症候,黄疸,TBL-KNinfection-017,JlAKp2Q
症候,リンパ節腫脹,TBL-KNinfection-018,JlAKp2Y
症候,血尿,TBL-KNinfection-019,JlAKp3I
症候,頭痛・頭重感,TBL-KNinfection-020,JlAKp20
症候,腰背部痛,TBL-KNinfection-021,JlAKp3Q
症候,関節痛・関節腫脹,TBL-KNinfection-022,JlAKp3M
症候,咽頭痛,TBL-KNinfection-023,JlAKp3U
症候,胸水,TBL-KNinfection-024,JlAKp2g
症候,血便,TBL-KNinfection-025,
症候,タンパク尿,TBL-KNinfection-026,JmnSckQ
症候,脱水,TBL-KNinfection-027,JlAKp2I
症候,ショック,TBL-KNinfection-028,JlAKp14
