分類,項目名,index,UID
構造と機能,骨・軟骨・関節・靱帯の構成と機能,TBL-KNmuscleskeletal-001,JlAKpb0
構造と機能,頭頸部の構成,TBL-KNmuscleskeletal-002,JlAKpb4
構造と機能,脊柱の構成と機能,TBL-KNmuscleskeletal-003,JlAKpb8
構造と機能,四肢の骨格、主要筋群の運動と神経支配,TBL-KNmuscleskeletal-004,JlAKpcA
構造と機能,骨盤の構成と性差,TBL-KNmuscleskeletal-005,JlAKpcE
構造と機能,骨の成長と骨形成・吸収の機序,TBL-KNmuscleskeletal-006,JlAKpcI
構造と機能,姿勢と体幹の運動にかかわる筋群,TBL-KNmuscleskeletal-007,JlAKpcM
構造と機能,抗重力筋,TBL-KNmuscleskeletal-008,JlAKpcQ
症候,運動麻痺・筋力低下,TBL-KNmuscleskeletal-009,JlAKpcU
症候,歩行障害,TBL-KNmuscleskeletal-010,JlAKpcg
症候,感覚障害,TBL-KNmuscleskeletal-011,JlAKpck
症候,腰背部痛,TBL-KNmuscleskeletal-012,JlAKpcc
症候,関節痛・関節腫脹,TBL-KNmuscleskeletal-013,JlAKpcY
症候,頸部痛,TBL-KNmuscleskeletal-014,Jlvnlp8
検査方法,筋骨格系の病態に即した徒手検査（四肢と脊柱の可動域検査・神経学的検査等）,TBL-KNmuscleskeletal-015,JlAKpco
検査方法,筋骨格系画像診断（エックス線撮影・CT・MRI・超音波検査・骨塩定量）,TBL-KNmuscleskeletal-016,JlAKpcs
検査方法,関節液検査,TBL-KNmuscleskeletal-017,JlAKpcw
特異的治療法,運動器疾患のリハビリテーション,TBL-KNmuscleskeletal-018,JlAKpc0
特異的治療法,捻挫・骨折・脱臼の治療・処置,TBL-KNmuscleskeletal-019,JlAKpc4
