分類,項目名,index,UID
症候,発熱,TBL-KNpedi-001,Jli6Jl0
症候,意識障害,TBL-KNpedi-002,Jli6Jl4
症候,けいれん,TBL-KNpedi-003,Jli6Jl8
症候,浮腫,TBL-KNpedi-004,Jli6JmE
症候,発疹,TBL-KNpedi-005,Jli6JmI
症候,咳・痰,TBL-KNpedi-006,Jli6JmQ
症候,呼吸困難,TBL-KNpedi-007,Jli6JmY
症候,嚥下困難,TBL-KNpedi-008,Jli6Jmc
症候,腹痛,TBL-KNpedi-009,Jli6Jmk
症候,悪心・嘔吐,TBL-KNpedi-010,Jli6Jmo
症候,下血,TBL-KNpedi-011,Jli6Jmw
症候,便秘,TBL-KNpedi-012,Jli6Jm0
症候,下痢,TBL-KNpedi-013,Jli6Jm8
症候,黄疸,TBL-KNpedi-014,Jli6JnA
症候,腹部膨隆・腫瘤,TBL-KNpedi-015,Jli6JnI
症候,リンパ節腫脹,TBL-KNpedi-016,Jli6JnQ
症候,尿量・排尿の異常,TBL-KNpedi-017,Jli6JnU
症候,哺乳力低下,TBL-KNpedi-018,Jli6Jnc
症候,成長障害,TBL-KNpedi-019,Jli6Jng
症候,活動性低下,TBL-KNpedi-020,Jli6Jno
検査方法,新生児マススクリーニング,TBL-KNpedi-021,Jli6Jns
検査方法,新生児聴覚スクリーニング,TBL-KNpedi-022,Jli6Jn0
検査方法,乳幼児健康診査,TBL-KNpedi-023,Jli6Jn8
特異的治療法,小児輸液療法,TBL-KNpedi-024,Jli6JoA
特異的治療法,予防接種,TBL-KNpedi-025,Jli6JoI
