分類,項目名,index,UID
構造と機能,体液の量と組成・浸透圧（小児と成人の違いを含めて）,TBL-KNrenal-001,JlAKpl8
構造と機能,腎・尿路系の位置・形態と血管分布・神経支配,TBL-KNrenal-002,JlAKpmA
構造と機能,腎の機能の全体像やネフロン各部の構造と機能,TBL-KNrenal-003,JlAKpmE
構造と機能,腎糸球体における濾過の機序,TBL-KNrenal-004,JlAKpmI
構造と機能,尿細管各部における再吸収・分泌機構と尿の濃縮機序,TBL-KNrenal-005,JlAKpmM
構造と機能,水電解質、酸・塩基平衡の調節機構,TBL-KNrenal-006,JlAKpmQ
構造と機能,腎で産生される又は腎に作用するホルモン・血管作動性物質（エリスロポエチン、ビタミンD、レニン、アンギオテンシンII、アルドステロン）の作用,TBL-KNrenal-007,JlAKpmU
構造と機能,蓄排尿の機序,TBL-KNrenal-008,JlAKpmY
症候,浮腫,TBL-KNrenal-009,JlAKpmk
症候,血尿,TBL-KNrenal-010,JlAKpmc
症候,タンパク尿,TBL-KNrenal-011,JlAKpmg
症候,尿量・排尿の異常,TBL-KNrenal-012,JlAKpms
症候,脱水,TBL-KNrenal-013,JlAKpmo
症候,臨床症候の分類（急性腎炎症候群・慢性腎炎症候群・ネフローゼ症候群・急速進行性腎炎症候群・反復性または持続性血尿症候群）,TBL-KNrenal-014,JlAKpmw
検査方法,糸球体濾過量（実測・推算）を含む腎機能検査法,TBL-KNrenal-015,JlAKpm0
検査方法,腎・尿路系の画像診断（エックス線撮影・尿路造影・CT・MRI）,TBL-KNrenal-016,JlAKpm4
検査方法,腎生検の適応と禁忌,TBL-KNrenal-017,JlAKpm8
検査方法,尿流動態検査,TBL-KNrenal-018,JlAKpnA
特異的治療法,腎代替療法（血液透析・腹膜透析・腎移植）,TBL-KNrenal-019,JlAKpnE
