分類,項目名,index,UID
構造と機能,生殖腺の発生と性分化の過程,TBL-KNrepro-001,JlAKpnw
構造と機能,男性生殖器の発育の過程,TBL-KNrepro-002,JlAKpn0
構造と機能,男性生殖器の形態と機能,TBL-KNrepro-003,JlAKpn4
構造と機能,精巣の組織構造と精子形成の過程,TBL-KNrepro-004,JlAKpn8
構造と機能,陰茎の組織構造と勃起・射精の機序,TBL-KNrepro-005,JlAKpoA
構造と機能,女性生殖器の発育の過程,TBL-KNrepro-006,JlAKpoE
構造と機能,女性生殖器の形態と機能,TBL-KNrepro-007,JlAKpoI
構造と機能,性周期発現と排卵の機序,TBL-KNrepro-008,JlAKpoM
構造と機能,閉経の過程と疾病リスクの変化,TBL-KNrepro-009,JlAKpoQ
症候,腹痛,TBL-KNrepro-010,JlAKpoU
症候,腹部膨隆・腫瘤,TBL-KNrepro-011,JlAKpoY
症候,月経異常,TBL-KNrepro-012,JlAKpok
症候,勃起不全,TBL-KNrepro-013,JlAKpos
症候,射精障害,TBL-KNrepro-014,JlAKpow
症候,精巣機能障害,TBL-KNrepro-015,JlAKpo0
症候,不正性器出血,TBL-KNrepro-016,JlAKpo4
症候,乳汁漏出症,TBL-KNrepro-017,JlAKpo8
症候,腟分泌物（帯下）の増量,TBL-KNrepro-018,JlAKppA
症候,腟乾燥感,TBL-KNrepro-019,JlAKppE
症候,性交痛,TBL-KNrepro-020,JlAKppI
検査方法,精巣と前立腺の画像検査法（尿路造影・CT・MRI）、超音波検査,TBL-KNrepro-021,JlAKppQ
検査方法,血中ホルモン（卵胞刺激ホルモン（FSH）、黄体形成ホルモン（LH）、プロラクチン、ヒト絨毛性ゴナドトロピン（hCG）、エストロゲン、プロゲステロン）の測定,TBL-KNrepro-022,JlAKppU
検査方法,骨盤内臓器と腫瘍の画像診断（超音波断層法CT、MRI、子宮卵管造影（HSG））,TBL-KNrepro-023,JlAKppY
検査方法,基礎体温測定,TBL-KNrepro-024,JlAKppc
検査方法,腟分泌物所見,TBL-KNrepro-025,JlAKppg
特異的治療法,体外受精―胚移植（IVF-ET）,TBL-KNrepro-026,JlAKppk
