分類,項目名,index,UID
構造と機能,皮膚の組織構造,TBL-02-03-001,JlAKpaM
構造と機能,皮膚の細胞動態と角化の機構,TBL-02-03-002,JlAKpaQ
構造と機能,皮膚の免疫防御能,TBL-02-03-003,JlAKpaU
症候,皮疹（紅斑・紫斑・色素斑・丘疹・結節・腫瘤・水疱・膿疱・嚢腫・びらん・潰瘍・毛細血管拡張・硬化・瘢痕・萎縮・鱗屑・痂皮・苔癬化・壊疽）,TBL-02-03-004,JlAKpaY
症候,そう痒,TBL-02-03-005,JlAKpac
症候,粘膜疹,TBL-02-03-006,JlAKpag
症候,脱毛,TBL-02-03-007,JlAKpak
検査方法,皮膚検査法（硝子圧法・皮膚描記法（Darier 徴候）・Nikolsky 現象・Tzanck 試験・光線テスト）,TBL-02-03-008,JlAKpao
検査方法,皮膚アレルギー検査法（プリックテスト・皮内テスト・パッチテスト）,TBL-02-03-009,JlAKpas
検査方法,微生物検査法（検体採取法・苛性カリ（KOH）直接検鏡法）,TBL-02-03-010,JlAKpaw
検査方法,ダーモスコピー,TBL-02-03-011,JlAKpa0
特異的治療法,外用療法,TBL-02-03-012,JlAKpa4
特異的治療法,凍結療法,TBL-02-03-013,JlAKpa8
特異的治療法,光線療法（PUVA療法）,TBL-02-03-014,JlAKpbA
