index,id,category,item
TBL-02-06-001,JlAKphE,構造と機能,気道の構造、肺葉・肺区域と肺門の構造
TBL-02-06-002,JlAKphI,構造と機能,肺循環と体循環の違い
TBL-02-06-003,JlAKphM,構造と機能,縦隔と胸膜腔の構造
TBL-02-06-004,JlAKphQ,構造と機能,呼吸筋と呼吸運動の機序
TBL-02-06-005,JlAKphU,構造と機能,肺気量分画、換気、死腔（換気力学（胸腔内圧、肺コンプライアンス、抵抗、クロージングボリューム(closing volume)））
TBL-02-06-006,JlAKphY,構造と機能,肺胞におけるガス交換と血流の関係
TBL-02-06-007,JlAKphc,構造と機能,肺の換気と血流（換気血流比）が動脈血ガスにおよぼす影響（肺胞気-動脈血酸素分圧較差（A-aDO^2^））
TBL-02-06-008,JlAKphg,構造と機能,呼吸中枢を介する呼吸調節の機序
TBL-02-06-009,JlAKphk,構造と機能,血液による酸素 と二酸化炭素 の運搬の仕組み
TBL-02-06-010,JlAKpho,構造と機能,気道と肺の防御機構（免疫学的・非免疫学的）と代謝機能
TBL-02-06-011,JlAKph0,症候,咳・痰
TBL-02-06-012,JlAKph4,症候,血痰・喀血
TBL-02-06-013,JlAKphw,症候,呼吸困難
TBL-02-06-014,JlAKphs,症候,胸痛
TBL-02-06-015,JlAKpiA,症候,胸部圧迫感
TBL-02-06-016,JlAKpiE,症候,呼吸数・リズムの異常
TBL-02-06-017,JlAKph8,症候,喘鳴
TBL-02-06-018,JlAKpiI,症候,胸水
TBL-02-06-019,JlAKpiM,検査方法,喀痰検査（喀痰細胞診・喀痰培養）
TBL-02-06-020,JlAKpiQ,検査方法,胸水検査、胸膜生検
TBL-02-06-021,JlAKpiU,検査方法,呼吸機能検査（スパイロメトリー・肺拡散能力・flow-volume曲線）、動脈血ガス分析、ポリソムノグラフィー、ピークフローメトリー
TBL-02-06-022,,検査方法,呼気NO検査
TBL-02-06-023,JlAKpiY,検査方法,画像検査（エックス線撮影・CT・MRI）、核医学検査（ポジトロン断層法（PET））
TBL-02-06-024,JlAKpic,検査方法,気管支内視鏡検査
TBL-02-06-025,JlAKpig,特異的治療法,呼吸器理学療法・リハビリテーション
TBL-02-06-026,JlAKpik,特異的治療法,酸素療法
TBL-02-06-027,JlAKpio,特異的治療法,人工換気
