index,id,item
TBL-03-00-001,JuqS028,"バイタルサイン(体温、脈拍、血圧、呼吸数、酸素飽和度)の測定
"
TBL-03-00-002,JkxirtA,頭部（顔貌、頭髪、頭皮、頭蓋）の診察
TBL-03-00-003,JkxirtE,眼（視野、瞳孔、対光反射、眼球運動・突出、結膜）の診察
TBL-03-00-004,JkxirtI,耳（耳介、聴力）の診察
TBL-03-00-005,JkxirtM,耳鏡を用いた外耳道、鼓膜の観察
TBL-03-00-006,JkxirtQ,口唇、口腔、咽頭、扁桃の診察
TBL-03-00-007,JkxirtU,副鼻腔の診察
TBL-03-00-008,JkxirtY,鼻鏡を用いた前鼻腔の観察
TBL-03-00-009,Jkxirtc,甲状腺、頸部血管、気管、唾液腺の診察
TBL-03-00-010,Jkxirtg,頭頸部リンパ節の診察
TBL-03-00-011,Jkxirtk,胸部の視診、触診、打診
TBL-03-00-012,Jkxirto,呼吸音と副雑音の聴診
TBL-03-00-013,Jkxirts,心音と心雑音の聴診
TBL-03-00-014,Jkxirtw,腹部の視診、聴診（腸雑音、血管雑音）、打診、触診
TBL-03-00-015,JkxiruE,背部の叩打痛
TBL-03-00-016,JkxiruI,直腸（前立腺を含む）指診
TBL-03-00-017,JkxiruM,乳房の診察
TBL-03-00-018,JkxiruQ,意識レベルの判定
TBL-03-00-019,JkxiruU,脳神経系の診察
TBL-03-00-020,Jm6K67M,眼底検査
TBL-03-00-021,JkxiruY,腱反射の診察
TBL-03-00-022,Jkxiruc,小脳機能・運動系の診察
TBL-03-00-023,Jkxirug,感覚系（痛覚、温度覚、触覚、深部感覚）の診察
TBL-03-00-024,Jkxiruk,髄膜刺激所見
TBL-03-00-025,Jkxiruo,四肢と脊柱（弯曲、疼痛）の診察
TBL-03-00-026,Jkxiruw,関節（可動域、腫脹、疼痛、変形）の診察
TBL-03-00-027,Jkxiru0,筋骨格系の診察（徒手筋力テスト）
TBL-03-00-028,Jm6K67U,婦人科診察(双合診・クスコ診)
TBL-03-00-029,JuqS23Q,高齢者総合機能評価
