index,id,category,item
TBL-02-13-001,JlAKpr8,Structure and Function,"Structural classification of hormones, their mechanisms of action and regulatory function of secretion"
TBL-02-13-002,JlAKpsA,Structure and Function,"Names, actions and interrelationships of hypothalamic and pituitary hormones"
TBL-02-13-003,JlAKpsE,Structure and Function,"Hormones secreted by the thyroid gland and parathyroid glands (epithelial bodies), their mechanisms of action and regulation of secretion"
TBL-02-13-004,JlAKpsI,Structure and Function,Structure of adrenal gland and action and secretory regulation mechanism of secreted hormones
TBL-02-13-005,JlAKpsM,Structure and Function,Action of hormones secreted from pancreatic islets
TBL-02-13-006,JlAKpsQ,Structure and Function,Synthesis and metabolic pathways and actions of male and female hormones
TBL-02-13-007,JlAKpsU,Structure and Function,"Digestion and absorption of the three major nutrients, vitamins, and trace elements and bioavailability efficiency of nutrients"
TBL-02-13-008,JlAKpsY,Structure and Function,"Metabolic pathways and interactions of carbohydrates, proteins, and lipids"
TBL-02-13-009,JlAKpsc,Structure and Function,Factors affecting blood hormone levels and diurnal variation of hormones
TBL-02-13-010,JlAKpsg,Symptoms,Weight loss
TBL-02-13-011,JlAKpsk,Symptoms,Weight gain
TBL-02-13-012,JlAKpso,Symptoms,Menstrual abnormalities
TBL-02-13-013,JlAKpss,Symptoms,Short stature
TBL-02-13-014,JlAKpsw,Symptoms,Goiter
TBL-02-13-015,JlAKps0,Symptoms,Symptoms of excess or deficiency of hormones
TBL-02-13-016,JlAKps4,Symptoms,Physical symptoms of excessive or deficient energy intake
TBL-02-13-017,JlAKps8,Testing Methods,Blood and urine hormone measurements
TBL-02-13-018,JlAKptA,Methods of Examination,Endocrine function tests and stress tests
