index,id,category,item
TBL-02-04-001,JlAKpb0,構造と機能,骨・軟骨・関節・靱帯の構成と機能
TBL-02-04-002,JlAKpb4,構造と機能,頭頸部の構成
TBL-02-04-003,JlAKpb8,構造と機能,脊柱の構成と機能
TBL-02-04-004,JlAKpcA,構造と機能,四肢の骨格、主要筋群の運動と神経支配
TBL-02-04-005,JlAKpcE,構造と機能,骨盤の構成と性差
TBL-02-04-006,JlAKpcI,構造と機能,骨の成長と骨形成・吸収の機序
TBL-02-04-007,JlAKpcM,構造と機能,姿勢と体幹の運動にかかわる筋群
TBL-02-04-008,JlAKpcQ,構造と機能,抗重力筋
TBL-02-04-009,JlAKpcU,症候,運動麻痺・筋力低下
TBL-02-04-010,JlAKpcg,症候,歩行障害
TBL-02-04-011,JlAKpck,症候,感覚障害
TBL-02-04-012,JlAKpcc,症候,腰背部痛
TBL-02-04-013,JlAKpcY,症候,関節痛・関節腫脹
TBL-02-04-014,Jlvnlp8,症候,頸部痛
TBL-02-04-015,JlAKpco,検査方法,筋骨格系の病態に即した徒手検査（四肢と脊柱の可動域検査・神経学的検査等）
TBL-02-04-016,JlAKpcs,検査方法,筋骨格系画像診断（エックス線撮影・CT・MRI・超音波検査・骨塩定量）
TBL-02-04-017,JlAKpcw,検査方法,関節液検査
TBL-02-04-018,JlAKpc0,特異的治療法,運動器疾患のリハビリテーション
TBL-02-04-019,JlAKpc4,特異的治療法,捻挫・骨折・脱臼の治療・処置
