index,id,item
TBL-04-00-001,JlAK3G0,内科
TBL-04-00-002,JlAK3G4,外科
TBL-04-00-003,JlAK3G8,小児科
TBL-04-00-004,JlAK3HA,産婦人科
TBL-04-00-005,JlAK3HE,精神科
TBL-04-00-006,JlAK3Gs,総合診療科
TBL-04-00-007,JlAK3Gw,救急科
TBL-04-00-008,JlAK3HI,皮膚科
TBL-04-00-009,JlAK3HM,整形外科
TBL-04-00-010,JlAK3HQ,眼科
TBL-04-00-011,JlAK3HU,耳鼻咽喉科
TBL-04-00-012,JlAK3HY,泌尿器科
TBL-04-00-013,JlAK3Hc,脳神経外科
TBL-04-00-014,JlAK3Hg,放射線科
TBL-04-00-015,JlAK3Hk,麻酔科
TBL-04-00-016,JlAK3Ho,病理診断科
TBL-04-00-017,JlAK3Hs,臨床検査科
TBL-04-00-018,JlAK3Hw,形成外科
TBL-04-00-019,JlAK3H0,リハビリテーション科
