y2016_id,y2022_id
F-02-01-na-08,Jkxp2Ho
A-05-01-na-03,Jkxp2IE
C-05-07-na-01,Jkxp2Is
C-05-07-na-02,Jkxp2Is
C-05-07-na-03,Jkxp2Is
C-05-07-na-04,Jkxp2Is
A-05-01-na-04,Jkxp2IQ
B-04-01-na-13,Jk314Eo
A-05-01-na-02,Jkxp2IY
B-04-01-na-13,Jkxp2IY
A-06-01-na-01,Jkxp2IY
A-01-03-na-01,JkxiJUs
A-01-03-na-01,JkxiJUw
A-01-03-na-04,JkxiJU4
B-04-01-na-10,JkxiJU4
A-01-02-na-01,JkxiJVI
A-01-02-na-01,JkxiJVU
A-01-03-na-02,JkxiJVU
A-01-03-na-02,JkxiJVY
A-01-02-na-01,JkxiJVY
A-01-01-na-01,JnNYL4E
A-01-01-na-02,JnNYL4I
A-01-01-na-03,JnNYL4M
C-01-01-01-01,JkxnuHs
C-01-01-01-02,JkxnuHw
C-01-01-01-03,JkxnuH0
C-01-01-01-04,JkxnuH0
C-01-01-01-05,JkxnuH0
C-01-01-01-06,JkxnuH0
C-01-01-01-07,JkxnuH4
C-01-01-01-08,JkxnuH8
C-01-01-02-01,JkxnuIA
C-01-01-02-02,JkxnuIE
C-01-01-02-03,JkxnuII
C-01-01-02-04,JkxnuIM
C-01-01-02-05,JkxnuIM
C-03-01-01-03,JkxnuIM
C-01-01-02-06,JkxnuIQ
C-01-02-01-01,JkxnuIY
C-01-02-01-02,JkxnuIc
C-01-02-01-03,JkxnuIg
C-02-01-01-01,JkxnuIk
C-02-01-01-02,JkxnuIo
C-02-01-01-03,JkxnuIo
C-02-01-01-04,JkxnuIo
C-02-03-02-01,JkxnuIs
C-02-03-02-02,JkxnuIs
C-02-03-01-01,JkxnuIw
C-02-03-01-02,JkxnuI0
C-02-03-01-03,JkxnuI0
C-02-01-02-01,JkxnuI8
C-02-01-02-02,JkxnuI8
C-02-01-02-03,JkxnuJA
C-02-01-02-04,JkxnuJA
C-02-01-02-05,JkxnuJA
C-02-01-02-04,JkxnuJA
C-02-03-02-03,JkxnuJE
C-02-02-01-01,JkxnuJI
C-02-02-01-02,JkxnuJM
C-02-02-01-03,JkxnuJQ
C-02-02-01-04,JkxnuJU
C-02-02-01-05,JkxnuJY
C-02-02-01-06,JkxnuJc
C-02-02-02-01,JkxnuJg
C-02-03-02-04,JkxnuJk
C-02-03-02-05,JkxnuJo
C-02-03-04-01,JkxnuJs
C-02-03-04-02,JkxnuJs
C-02-03-04-03,JkxnuJw
C-02-03-04-04,JkxnuJ0
C-02-04-na-01,JkxnuJ8
C-02-04-na-07,JkxnuJ8
C-02-04-na-02,JkxnuKA
C-02-04-na-08,JkxnuKA
C-02-04-na-03,JkxnuKE
C-02-04-na-05,JkxnuKE
C-02-04-na-06,JkxnuKE
C-02-04-na-04,JkxnuKI
C-02-04-na-09,JkxnuKM
C-02-05-na-01,JkxnuKQ
C-02-05-na-01,JkxnuKU
C-02-05-na-02,JkxnuKU
C-02-05-na-03,JkxnuKU
C-02-05-na-04,JkxnuKU
C-02-05-na-05,JkxnuKU
C-02-05-na-06,JkxnuKU
C-02-05-na-07,JkxnuKU
C-02-05-na-10,JkxnuKY
C-02-05-na-11,JkxnuKY
C-02-05-na-08,JkxnuKc
C-02-05-na-09,JkxnuKc
C-02-05-na-12,JkxnuKg
C-02-05-na-13,JkxnuKk
C-02-05-na-14,JkxnuKo
C-02-05-na-15,JkxnuKs
C-02-05-na-16,JkxnuKw
C-02-05-na-16,JkxnuK0
C-02-03-04-05,JkxnuK0
C-03-01-04-02,JkxnuLA
C-03-01-04-03,JkxnuLA
C-03-01-04-04,JkxnuLI
C-03-01-04-05,JkxnuLI
C-03-01-04-06,JkxnuLI
C-03-01-04-07,JkxnuLI
C-03-01-04-09,JkxnuLM
C-03-01-04-11,JkxnuLQ
E-02-04-02-09,JkxnuLQ
E-02-04-02-10,JkxnuLQ
E-02-04-02-12,JkxnuLQ
D-07-01-na-15,JkxnuLU
C-03-01-01-02,JkxnuLY
C-03-01-01-04,JkxnuLc
C-03-01-01-05,JkxnuLc
C-03-01-01-06,JkxnuLc
C-03-01-01-07,JkxnuLc
C-03-01-03-01,JkxnuLg
C-03-01-03-03,JkxnuLo
C-03-01-03-02,JkxnuLo
C-03-01-04-10,JkxnuLs
E-02-04-03-01,JkxnuLs
C-03-01-05-01,JkxnuLw
C-03-01-05-02,JkxnuLw
C-03-01-05-03,JkxnuLw
C-03-01-05-04,JkxnuLw
C-03-01-05-05,JkxnuLw
F-02-08-na-05,JkxnuL0
C-03-01-02-02,JkxnuL4
C-03-01-02-03,JkxnuL4
C-03-02-01-02,JkxnuMI
C-03-01-02-01,JkxnuMI
C-02-03-03-01,JkxnuMQ
C-02-03-03-02,JkxnuMQ
C-03-02-01-04,JkxnuMQ
C-03-02-02-01,JkxnuMU
C-03-02-02-02,JkxnuMY
C-03-02-02-03,JkxnuMY
C-02-03-03-01,JkxnuMY
C-02-03-03-02,JkxnuMY
C-03-02-01-04,JkxnuMY
C-03-02-03-03,JkxnuMc
C-02-03-03-01,JkxnuMc
C-02-03-03-02,JkxnuMc
C-03-02-01-04,JkxnuMc
C-02-03-03-01,JkxnuMg
C-02-03-03-02,JkxnuMg
C-03-02-01-04,JkxnuMg
C-02-03-03-01,JkxnuMk
C-02-03-03-02,JkxnuMk
C-03-02-01-04,JkxnuMk
C-02-03-03-01,JkxnuMo
C-02-03-03-02,JkxnuMo
C-03-02-01-04,JkxnuMo
C-03-02-04-01,JkxnuMs
C-03-02-04-02,JkxnuMw
C-03-02-04-03,JkxnuM0
C-03-02-02-04,JkxnuM0
C-03-02-01-01,JkxnuM0
C-03-02-01-03,JkxnuM0
C-03-02-04-04,JkxnuM4
C-03-02-04-05,JkxnuM8
C-03-03-01-03,JkxnuNA
C-03-03-02-01,JkxnuNA
C-03-03-01-01,JkxnuNA
C-03-03-01-02,JkxnuNE
C-03-03-02-01,JkxnuNE
F-02-08-na-08,JkxnuNM
C-03-03-02-01,JkxnuNM
C-04-01-na-01,JkxnuNY
C-04-01-na-02,JkxnuNc
C-04-01-na-03,JkxnuNc
C-04-01-na-04,JkxnuNc
C-04-01-na-05,JkxnuNg
C-04-01-na-06,JkxnuNg
C-04-01-na-07,JkxnuNk
C-04-02-na-01,JkxnuNo
C-04-02-na-03,JkxnuNo
C-04-02-na-02,JkxnuNs
C-04-03-na-01,JkxnuNw
C-04-03-na-02,JkxnuN0
C-04-03-na-03,JkxnuN4
C-04-03-na-04,JkxnuN8
C-04-03-na-05,JkxnuOA
C-04-03-na-06,JkxnuOE
C-04-04-na-01,JkxnuOI
C-04-04-na-02,JkxnuOI
C-04-04-na-04,JkxnuOQ
D-05-04-10-01,JkxnuOQ
C-04-05-na-01,JkxnuOY
C-04-05-na-02,JkxnuOc
C-04-05-na-03,JkxnuOc
C-04-05-na-04,JkxnuOg
C-04-06-na-01,JkxnuOs
C-04-06-na-02,JkxnuOw
C-04-06-na-04,JkxnuO4
C-04-06-na-05,JkxnuO8
C-04-06-na-06,JkxnuPA
D-01-01-na-01,JkxnuPM
D-01-01-na-02,JkxnuPM
D-01-01-na-03,JkxnuPM
D-01-01-na-04,JkxnuPM
D-01-01-na-05,JkxnuPM
D-01-01-na-06,JkxnuPM
D-01-01-na-07,JkxnuPM
D-01-01-na-08,JkxnuPM
D-01-03-na-01,JkxnuPQ
D-01-03-na-02,JkxnuPQ
D-01-03-na-03,JkxnuPQ
D-01-03-na-04,JkxnuPQ
D-01-03-na-05,JkxnuPQ
D-01-03-na-06,JkxnuPQ
D-01-03-na-01,JkxnuPQ
D-01-03-na-02,JkxnuPQ
D-01-03-na-03,JkxnuPQ
D-01-03-na-04,JkxnuPQ
D-01-03-na-05,JkxnuPQ
D-01-03-na-06,JkxnuPQ
D-01-03-na-01,JkxnuPQ
D-01-03-na-02,JkxnuPQ
D-01-03-na-03,JkxnuPQ
D-01-03-na-04,JkxnuPQ
D-01-03-na-05,JkxnuPQ
D-01-03-na-06,JkxnuPQ
D-01-03-na-01,JkxnuPQ
D-01-03-na-02,JkxnuPQ
D-01-03-na-03,JkxnuPQ
D-01-03-na-04,JkxnuPQ
D-01-03-na-05,JkxnuPQ
D-01-03-na-06,JkxnuPQ
D-01-03-na-04,JkxnuPQ
D-01-03-na-05,JkxnuPQ
D-01-03-na-04,JkxnuPQ
D-01-03-na-05,JkxnuPQ
D-01-03-na-04,JkxnuPQ
D-01-03-na-05,JkxnuPQ
D-01-02-na-01,JkxnuPU
D-01-02-na-02,JkxnuPU
D-01-02-na-02,JkxnuPU
F-02-13-na-01,JkxnuPY
F-02-13-na-05,JkxnuPY
D-01-04-01-01,JkxnuPc
D-01-04-01-02,JkxnuPc
D-01-04-01-03,JkxnuPc
D-01-04-01-04,JkxnuPc
D-01-04-01-05,JkxnuPc
D-01-04-02-01,JkxnuPc
D-01-04-02-02,JkxnuPc
D-01-04-02-03,JkxnuPc
D-01-04-02-04,JkxnuPc
D-01-04-02-05,JkxnuPc
D-01-04-02-06,JkxnuPc
D-01-04-02-07,JkxnuPc
D-01-04-04-01,JkxnuPc
D-01-04-04-02,JkxnuPc
D-01-04-04-03,JkxnuPc
D-01-04-04-04,JkxnuPc
D-01-04-04-05,JkxnuPc
D-01-04-04-06,JkxnuPc
D-01-04-04-07,JkxnuPc
D-01-04-04-08,JkxnuPc
