分類,項目名,index,UID,H28ID
構造と機能,ホルモンの構造的分類、作用機序及び分泌調節機能,TBL-KNendo-001,JlAKpr8,D-12-01-na-01
構造と機能,視床下部ホルモン・下垂体ホルモンの名称、作用と相互関係,TBL-KNendo-002,JlAKpsA,D-12-01-na-03
構造と機能,甲状腺と副甲状腺(上皮小体)から分泌されるホルモンの作用と分泌調節機構,TBL-KNendo-003,JlAKpsE,D-12-01-na-04
構造と機能,副腎の構造と分泌されるホルモンの作用と分泌調節機構,TBL-KNendo-004,JlAKpsI,D-12-01-na-05
構造と機能,膵島から分泌されるホルモンの作用,TBL-KNendo-005,JlAKpsM,D-12-01-na-06
構造と機能,男性ホルモン・女性ホルモンの合成・代謝経路と作用,TBL-KNendo-006,JlAKpsQ,D-12-01-na-07
構造と機能,三大栄養素、ビタミン、微量元素の消化吸収と栄養素の生物学的利用効率,TBL-KNendo-007,JlAKpsU,D-12-01-na-08
構造と機能,糖質・タンパク質・脂質の代謝経路と相互作用,TBL-KNendo-008,JlAKpsY,D-12-01-na-09
構造と機能,血中ホルモン濃度に影響を与える因子及びホルモンの日内変動,TBL-KNendo-009,JlAKpsc,"D-12-02-na-02,D-12-02-na-03"
症候,体重減少,TBL-KNendo-010,JlAKpsg,
症候,体重増加,TBL-KNendo-011,JlAKpsk,
症候,月経異常,TBL-KNendo-012,JlAKpso,D-12-03-03-02
症候,低身長,TBL-KNendo-013,JlAKpss,D-12-03-01-01
症候,甲状腺腫,TBL-KNendo-014,JlAKpsw,D-12-03-02-01
症候,ホルモンの過剰または欠乏がもたらす身体症状,TBL-KNendo-015,JlAKps0,D-12-02-na-01
症候,エネルギー摂取の過剰または欠乏がもたらす身体症状,TBL-KNendo-016,JlAKps4,D-12-02-na-05
検査方法,血中・尿中ホルモン測定,TBL-KNendo-017,JlAKps8,
検査方法,内分泌機能検査、負荷試験,TBL-KNendo-018,JlAKptA,
