分類,項目名,index,UID,H28ID
構造と機能,外耳・中耳・内耳の構造,TBL-KNotorhinolaryngology-001,JlAKpvw,D-14-01-na-01
構造と機能,聴覚・平衡覚の受容のしくみと伝導路,TBL-KNotorhinolaryngology-002,JlAKpv0,D-14-01-na-02
構造と機能,口腔・鼻腔・咽頭・喉頭の構造,TBL-KNotorhinolaryngology-003,JlAKpv4,D-14-01-na-03
構造と機能,喉頭の機能と神経支配,TBL-KNotorhinolaryngology-004,JlAKpv8,D-14-01-na-04
構造と機能,眼球運動、姿勢制御と関連させた平衡感覚機構,TBL-KNotorhinolaryngology-005,JlAKpwA,D-14-01-na-05
構造と機能,味覚と嗅覚の受容のしくみと伝導路,TBL-KNotorhinolaryngology-006,JlAKpwE,D-14-01-na-06
症候,めまい,TBL-KNotorhinolaryngology-007,JlAKpwM,"D-14-02-na-01, D-14-02-na-02,D-14-03-02-01"
症候,嚥下困難,TBL-KNotorhinolaryngology-008,JlAKpwQ,"D-14-02-na-01, D-14-02-na-02,D-14-03-02-02"
症候,気道狭窄,TBL-KNotorhinolaryngology-009,JlAKpwU,D-14-03-01-01
症候,難聴,TBL-KNotorhinolaryngology-010,JlAKpwY,D-14-03-01-01
症候,鼻出血,TBL-KNotorhinolaryngology-011,JlAKpwc,D-14-03-01-01
症候,咽頭痛,TBL-KNotorhinolaryngology-012,JlAKpwg,D-14-03-01-01
症候,開口障害,TBL-KNotorhinolaryngology-013,JlAKpwk,D-14-03-01-01
症候,嗄声（反回神経麻痺）,TBL-KNotorhinolaryngology-014,JlAKpwo,D-14-03-01-01
症候,耳鳴,TBL-KNotorhinolaryngology-015,JlAKpws,D-14-03-01-01
症候,鼻閉,TBL-KNotorhinolaryngology-016,JlAKpww,D-14-03-01-01
症候,鼻漏,TBL-KNotorhinolaryngology-017,JlAKpw0,D-14-03-01-01
症候,嗅覚障害,TBL-KNotorhinolaryngology-018,JlAKpw4,D-14-03-01-01
症候,いびき,TBL-KNotorhinolaryngology-019,JlAKpw8,D-14-03-01-01
症候,味覚障害,TBL-KNotorhinolaryngology-020,JlAKpxA,D-14-03-01-01
症候,唾液分泌異常,TBL-KNotorhinolaryngology-021,JlAKpxE,D-14-03-01-01
症候,口腔内異常,TBL-KNotorhinolaryngology-022,JlAKpxI,D-14-03-01-01
検査方法,聴力検査と平衡機能検査,TBL-KNotorhinolaryngology-023,JlAKpxM,D-14-02-na-01
検査方法,味覚検査と嗅覚検査,TBL-KNotorhinolaryngology-024,JlAKpxQ,D-14-02-na-02
検査方法,耳鏡、鼻鏡、喉頭鏡、鼻咽腔・喉頭内視鏡,TBL-KNotorhinolaryngology-025,JlAKpxU,
特異的治療法,補聴器・人工聴覚器,TBL-KNotorhinolaryngology-026,JlAKpxY,
特異的治療法,気管切開,TBL-KNotorhinolaryngology-027,JlAKpxc,D-14-04-01-10
