分類,項目名,index,UID,H28ID
症候,発熱,TBL-KNpedi-001,Jli6Jl0,"F-01-01-na-01,F-01-01-na-02,F-01-01-na-03,G-02-01-na-01,G-02-01-na-02,G-02-01-na-03,G-02-01-na-04,G-02-01-na-05,G-02-01-na-06,G-02-01-na-07,G-02-01-na-08"
症候,意識障害,TBL-KNpedi-002,Jli6Jl4,"F-01-07-na-01,F-01-07-na-02,F-01-07-na-03,G-02-07-na-01,G-02-07-na-02,G-02-07-na-03,G-02-07-na-04,G-02-07-na-05,G-02-07-na-06,G-02-07-na-07,G-02-07-na-08,G-02-07-na-09"
症候,けいれん,TBL-KNpedi-003,Jli6Jl8,"F-01-08-na-01,F-01-08-na-02,F-01-08-na-03,G-02-08-na-01,G-02-08-na-02,G-02-08-na-03,G-02-08-na-04,G-02-08-na-05,G-02-08-na-06"
症候,浮腫,TBL-KNpedi-004,Jli6JmE,"F-01-11-na-01,F-01-11-na-02,F-01-11-na-03,G-02-11-na-01,G-02-11-na-02,G-02-11-na-03,G-02-11-na-04,G-02-11-na-05,G-02-11-na-06"
症候,発疹,TBL-KNpedi-005,Jli6JmI,"F-01-12-na-01,F-01-12-na-02,F-01-12-na-03,G-02-12-na-01,G-02-12-na-02,G-02-12-na-03,G-02-12-na-04,G-02-12-na-05,G-02-12-na-06,G-02-12-na-07"
症候,咳・痰,TBL-KNpedi-006,Jli6JmQ,"F-01-13-na-01,F-01-13-na-02,F-01-13-na-03,G-02-13-na-01,G-02-13-na-02,G-02-13-na-03,G-02-13-na-04,G-02-13-na-05,G-02-13-na-06,G-02-13-na-07"
症候,呼吸困難,TBL-KNpedi-007,Jli6JmY,"F-01-15-na-01,F-01-15-na-02,F-01-15-na-03,G-02-15-na-01,G-02-15-na-02,G-02-15-na-03,G-02-15-na-04,G-02-15-na-05,G-02-15-na-06,G-02-15-na-07,G-02-15-na-08"
症候,嚥下困難,TBL-KNpedi-008,Jli6Jmc,"F-01-19-na-01,F-01-19-na-02,F-01-19-na-03,G-02-19-na-01,G-02-19-na-02,G-02-19-na-03,G-02-19-na-04,G-02-19-na-05,G-02-19-na-06,G-02-19-na-07"
症候,腹痛,TBL-KNpedi-009,Jli6Jmk,"F-01-20-na-01,F-01-20-na-02,F-01-20-na-03,G-02-20-na-01,G-02-20-na-02,G-02-20-na-03,G-02-20-na-04,G-02-20-na-05,G-02-20-na-06,G-02-20-na-07,G-02-20-na-08,G-02-20-na-09,G-02-20-na-10,G-02-20-na-11,G-02-20-na-12,G-02-20-na-13"
症候,悪心・嘔吐,TBL-KNpedi-010,Jli6Jmo,"F-01-21-na-01,F-01-21-na-02,F-01-21-na-03,G-02-21-na-01,G-02-21-na-02,G-02-21-na-03,G-02-21-na-04,G-02-21-na-05,G-02-21-na-06,G-02-21-na-07,G-02-21-na-08,G-02-21-na-09"
症候,下血,TBL-KNpedi-011,Jli6Jmw,"F-01-22-na-01,F-01-22-na-02,F-01-22-na-03,G-02-22-na-01,G-02-22-na-02,G-02-22-na-03,G-02-22-na-04,G-02-22-na-05,G-02-22-na-06,G-02-22-na-07,G-02-22-na-08"
症候,便秘,TBL-KNpedi-012,Jli6Jm0,"F-01-23-na-01,F-01-23-na-02,F-01-23-na-03,G-02-23-na-01,G-02-23-na-02,G-02-23-na-03,G-02-23-na-04,G-02-23-na-05,G-02-23-na-06,G-02-23-na-07,G-02-23-na-08,G-02-23-na-09"
症候,下痢,TBL-KNpedi-013,Jli6Jm8,"F-01-23-na-01,F-01-23-na-02,F-01-23-na-03,G-02-23-na-01,G-02-23-na-02,G-02-23-na-03,G-02-23-na-04,G-02-23-na-05,G-02-23-na-06,G-02-23-na-07,G-02-23-na-08,G-02-23-na-09"
症候,黄疸,TBL-KNpedi-014,Jli6JnA,"F-01-24-na-01,F-01-24-na-02,F-01-24-na-03,G-02-24-na-01,G-02-24-na-02,G-02-24-na-03,G-02-24-na-04,G-02-24-na-05,G-02-24-na-06"
症候,腹部膨隆・腫瘤,TBL-KNpedi-015,Jli6JnI,"F-01-25-na-01,F-01-25-na-02,F-01-25-na-03,G-02-25-na-01,G-02-25-na-02,G-02-25-na-03,G-02-25-na-04,G-02-25-na-05,G-02-25-na-06,G-02-25-na-07"
症候,リンパ節腫脹,TBL-KNpedi-016,Jli6JnQ,"F-01-27-na-01,F-01-27-na-02,F-01-27-na-03,G-02-27-na-01,G-02-27-na-02,G-02-27-na-03,G-02-27-na-04,G-02-27-na-05,G-02-27-na-06"
症候,尿量・排尿の異常,TBL-KNpedi-017,Jli6JnU,"F-01-28-na-01,F-01-28-na-02,F-01-28-na-03,G-02-28-na-01,G-02-28-na-02,G-02-28-na-03,G-02-28-na-04,G-02-28-na-05,G-02-28-na-06,G-02-28-na-07"
症候,哺乳力低下,TBL-KNpedi-018,Jli6Jnc,新設
症候,成長障害,TBL-KNpedi-019,Jli6Jng,新設
症候,活動性低下,TBL-KNpedi-020,Jli6Jno,新設
検査方法,新生児マススクリーニング,TBL-KNpedi-021,Jli6Jns,E-07-01-na-06
検査方法,新生児聴覚スクリーニング,TBL-KNpedi-022,Jli6Jn0,新設
検査方法,乳幼児健康診査,TBL-KNpedi-023,Jli6Jn8,新設
特異的治療法,小児輸液療法,TBL-KNpedi-024,Jli6JoA,"F-02-11-na-05, D-08-01-na-01"
特異的治療法,予防接種,TBL-KNpedi-025,Jli6JoI,E-07-03-na-04
