分類,項目名,index,UID,H28ID
構造と機能,生殖腺の発生と性分化の過程,TBL-KNrepro-001,JlAKpnw,D-09-01-na-01
構造と機能,男性生殖器の発育の過程,TBL-KNrepro-002,JlAKpn0,D-09-01-na-02
構造と機能,男性生殖器の形態と機能,TBL-KNrepro-003,JlAKpn4,D-09-01-na-03
構造と機能,精巣の組織構造と精子形成の過程,TBL-KNrepro-004,JlAKpn8,D-09-01-na-04
構造と機能,陰茎の組織構造と勃起・射精の機序,TBL-KNrepro-005,JlAKpoA,D-09-01-na-05
構造と機能,女性生殖器の発育の過程,TBL-KNrepro-006,JlAKpoE,D-09-01-na-06
構造と機能,女性生殖器の形態と機能,TBL-KNrepro-007,JlAKpoI,D-09-01-na-07
構造と機能,性周期発現と排卵の機序,TBL-KNrepro-008,JlAKpoM,D-09-01-na-08
構造と機能,閉経の過程と疾病リスクの変化,TBL-KNrepro-009,JlAKpoQ,D-09-01-na-09
症候,腹痛,TBL-KNrepro-010,JlAKpoU,"D-09-03-02-01,D-09-03-02-02,D-09-03-02-04,D-09-03-04-02"
症候,腹部膨隆・腫瘤,TBL-KNrepro-011,JlAKpoY,"D-09-03-02-01,D-09-03-02-02,D-09-03-02-04,D-09-03-04-03"
症候,月経異常,TBL-KNrepro-012,JlAKpok,"D-09-03-02-01,D-09-03-02-02,D-09-03-02-04"
症候,勃起不全,TBL-KNrepro-013,JlAKpos,"D-09-03-01-01,D-09-03-01-02, D-09-03-02-03、D-09-03-03-01,D-09-03-04-01,D-09-03-04-05"
症候,射精障害,TBL-KNrepro-014,JlAKpow,"D-09-03-01-01,D-09-03-01-02, D-09-03-02-03、D-09-03-03-01,D-09-03-04-01,D-09-03-04-05"
症候,精巣機能障害,TBL-KNrepro-015,JlAKpo0,"D-09-03-01-01,D-09-03-01-02, D-09-03-02-03、D-09-03-03-01,D-09-03-04-01,D-09-03-04-05"
症候,不正性器出血,TBL-KNrepro-016,JlAKpo4,"D-09-03-01-01,D-09-03-01-02, D-09-03-02-03,D-09-03-03-01,D-09-03-04-01,D-09-03-04-05"
症候,乳汁漏出症,TBL-KNrepro-017,JlAKpo8,"D-09-03-01-01,D-09-03-01-02, D-09-03-02-03,D-09-03-03-01,D-09-03-04-01,D-09-03-04-05"
症候,腟分泌物（帯下）の増量,TBL-KNrepro-018,JlAKppA,"D-09-03-01-01,D-09-03-01-02, D-09-03-02-03,D-09-03-03-01,D-09-03-04-01,D-09-03-04-05"
症候,腟乾燥感,TBL-KNrepro-019,JlAKppE,"D-09-03-01-01,D-09-03-01-02, D-09-03-02-03,D-09-03-03-01,D-09-03-04-01,D-09-03-04-05"
症候,性交痛,TBL-KNrepro-020,JlAKppI,"D-09-03-01-01,D-09-03-01-02, D-09-03-02-03,D-09-03-03-01,D-09-03-04-01,D-09-03-04-05"
検査方法,精巣と前立腺の画像検査法（尿路造影・CT・MRI）、超音波検査,TBL-KNrepro-021,JlAKppQ,D-09-02-01-01
検査方法,血中ホルモン（卵胞刺激ホルモン（FSH）、黄体形成ホルモン（LH）、プロラクチン、ヒト絨毛性ゴナドトロピン（hCG）、エストロゲン、プロゲステロン）の測定,TBL-KNrepro-022,JlAKppU,D-09-02-02-01
検査方法,骨盤内臓器と腫瘍の画像診断（超音波断層法CT、MRI、子宮卵管造影（HSG））,TBL-KNrepro-023,JlAKppY,D-09-02-02-02
検査方法,基礎体温測定,TBL-KNrepro-024,JlAKppc,D-09-02-02-03
検査方法,腟分泌物所見,TBL-KNrepro-025,JlAKppg,D-09-02-02-04
特異的治療法,体外受精―胚移植（IVF-ET）,TBL-KNrepro-026,JlAKppk,
